case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
flat,adamw,250,0.3104740244617679,0.026836957143707676,7.593383125370501e-05,-1.3292806582131018
flat,adamw,500,0.19419837324896133,0.004545779334804774,9.855544492856083e-05,-1.3292806582131018
flat,adamw,1000,0.11224042153194055,0.002825224357461218,7.1925272365303e-05,-1.3292806582131018
flat,adamw,2000,0.05203301393331883,0.0036392366291014408,6.213470736939896e-05,-1.3292806582131018
flat,adamw,4000,0.01546731230009871,0.002843512364063539,8.880445609080745e-05,-1.3292806582131018
flat,adamw,8000,0.005222110425014292,0.001719601017138678,4.527922960062547e-05,-1.3292806582131018
