case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
haar,sgd,250,0.8958622446478899,0.01541748460484358,0.0,-0.40250570271012703
haar,sgd,500,0.7075606144189752,0.005667930176494995,0.0,-0.40250570271012703
haar,sgd,1000,0.5540247040448284,0.002551622959455956,0.0,-0.40250570271012703
haar,sgd,2000,0.4254457952800624,0.000910867195559486,0.0,-0.40250570271012703
haar,sgd,4000,0.3189045902515682,0.0012010810858449597,0.0,-0.40250570271012703
haar,sgd,8000,0.23113535468937307,0.000902398619372871,0.0,-0.40250570271012703
