C,M_opt,N_opt,K_opt,n_eff_opt,gamma_eff_opt,risk_opt,K_time_cap,K_wd_cap,a,b,theta,q_eff,alpha,weight_decay,phase
10000.0,31.888920300861294,313.58854127556987,31.888920300861294,180.07761190338096,0.5742480613956347,0.6023862635451268,46.15727095404283,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
14251.026703029993,36.64536612836196,388.89028023655914,36.64536612836196,221.8342489875992,0.5704288851155114,0.5678422465895502,53.278426790490656,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
20309.17620904735,42.76597288832646,474.89101351862405,42.76597288832646,279.67106385014085,0.5889163110878131,0.5352906800033902,60.868972065554736,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
28942.661247167518,49.290338190563595,587.1873131661421,49.290338190563595,346.05306242250606,0.5893401554549457,0.5045973708233851,70.12148568762657,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
41246.26382901348,56.87729269793492,725.1798015082218,56.87729269793492,428.9516812418111,0.5915107954602178,0.4756733186393806,80.71677460729981,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
58780.16072274912,66.77080167879761,880.3273174030822,66.77080167879761,545.6069400897588,0.6197773592886674,0.44840695685936727,91.85358665442848,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
83767.76400682924,77.27658125475921,1083.9993520245212,77.27658125475921,679.3160109897991,0.6266756614947057,0.42269574730213694,105.52434903468931,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
119377.66417144357,89.54119518794924,1333.214995856006,89.54119518794924,847.2943892112728,0.6355271969223971,0.3984614033043107,121.13420496721277,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
170125.42798525892,103.87512279304727,1637.7879843685348,103.87512279304727,1058.6863784276577,0.6464123491758579,0.37561862712648786,138.94357010601252,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
242446.20170823307,120.64626737439967,2009.5623924762924,120.64626737439967,1325.1676794436228,0.6594309708446916,0.354088293879263,159.24568125009472,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
345510.7294592218,137.65399987801825,2509.9941139770385,137.65399987801825,1615.0398886925689,0.6434436956242772,0.33378471356734285,184.6921635036256,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
492388.26317067415,160.1628138507876,3074.2982801825497,160.1628138507876,2026.9476638691037,0.6593204299449906,0.3146433043715365,211.42873015197193,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
701703.8286703837,186.57275374218997,3761.0198413001517,186.57275374218997,2548.4277905065946,0.6775895629483373,0.2966034056670279,241.84498329160058,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
1000000.0,217.59475847079065,4595.698936076336,217.59475847079065,3209.760620121749,0.6984270868844472,0.27960544781188135,276.41888675178956,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
1425102.6703029992,248.71036796338632,5729.9688869938645,248.71036796338632,3922.3002449295986,0.6845238294107684,0.26357229540418714,320.2099645668841,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
2030917.620904739,290.57925973890076,6989.203643541576,290.57925973890076,4953.326089396476,0.7087110838405221,0.24845813421969762,365.55421546551156,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
2894266.1247167517,339.89831584021783,8515.094043823718,339.89831584021783,6266.477996354722,0.7359258704723299,0.23422502326111116,416.9906328469996,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
4124626.382901348,388.96287334442763,10604.16473026458,388.96287334442763,7671.1809052182225,0.723412083869695,0.22078568758181372,482.6707454105451,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
5878016.072274912,455.7881862508687,12896.376539780727,455.7881862508687,9730.711497865244,0.754530659666261,0.20813479775668392,549.935560335535,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
8376776.400682924,521.8900772982354,16050.844354137806,521.8900772982354,11922.533723510598,0.7427979152035727,0.1961958466902513,636.3048823701578,inf,1.5,1.4,0.0,0.0,1.5,0.0,hard_source_time_limited
