case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
haar,adamw,250,0.3232047776948872,-0.023185134866951396,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adamw,500,0.18198476897048838,-0.020699183343788174,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adamw,1000,0.10737421473084224,-0.028684446482567294,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adamw,2000,0.044337292606715095,-0.026306907425570847,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adamw,4000,0.01180261714970179,-0.026566423381318538,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adamw,8000,0.004350405638287354,-0.02910266999706823,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adamw,250,0.2792988196244224,-0.02134295338772918,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adamw,500,0.1769780764960396,-0.022470810575398792,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adamw,1000,0.11076947579364564,-0.02619504277637863,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adamw,2000,0.059771887050816236,-0.026438330272312127,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adamw,4000,0.012489434918071453,-0.02886782206147953,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adamw,8000,0.0038389034196101264,-0.03443393445118059,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adamw,250,0.3019237083396801,-0.02296233955722382,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adamw,500,0.18216607565839188,-0.023124499559234346,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adamw,1000,0.10638671151525418,-0.030059632322879004,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adamw,2000,0.049302722621493475,-0.02954499635763841,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adamw,4000,0.01465827325129979,-0.028352408308124355,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adamw,8000,0.003922705900478222,-0.038033924177344414,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adamw,250,0.28778020507074786,-0.023291399242314936,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adamw,500,0.18426334121009946,-0.020147475795739167,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adamw,1000,0.10626984737405457,-0.0249227034878321,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adamw,2000,0.04722059420447762,-0.02893712239535673,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adamw,4000,0.015685976959842002,-0.028608866368387664,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adamw,8000,0.005790386011976666,-0.037574286526127265,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adamw,250,0.2945024068832061,-0.02473246839413812,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adamw,500,0.1930455699605699,-0.024747066430421683,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adamw,1000,0.10580743134949998,-0.027926495814829755,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adamw,2000,0.05151541669822804,-0.030469296009515867,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adamw,4000,0.014810457197538273,-0.03054213436220743,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adamw,8000,0.002441966795754712,-0.03561437502135978,1.500000000000001,21.4696184256474,4,1.5,1.4,512
