case,optimizer,lr,final_step,final_risk_mean,final_risk_std,risk_slope_loglog,final_q_eff_mean,run_outdir
aligned,sgd,0.1,8000,0.1161277929615474,0.0005633060747874501,-0.4911856453155695,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__sgd__lr_0p1
aligned,rmsprop,0.003,8000,0.0005691678578901487,9.356924133872129e-05,-2.6203935186699163,0.47984084220526063,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__rmsprop__lr_0p003
aligned,adam,0.003,8000,0.0006035806575889991,8.463846897010052e-05,-2.6935524872915724,0.4801944484766694,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adam__lr_0p003
aligned,adamw,0.003,8000,0.0006035817196705523,8.518021768255554e-05,-2.690125592581357,0.4801912569119432,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adamw__lr_0p003
aligned,coord_oracle,0.02,8000,0.0018252255912009584,2.4636956663209997e-05,-1.7460071287024415,0.4999865397818023,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__coord_oracle__lr_0p02
aligned,spectral_oracle,0.02,8000,0.0018252255912009588,2.46369566632103e-05,-1.7460071287024412,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__spectral_oracle__lr_0p02
band,sgd,0.1,8000,0.1162970122132079,0.0004691261585608322,-0.4926733383701735,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/band__sgd__lr_0p1
band,rmsprop,0.003,8000,0.0006092723880927631,6.977222167015529e-05,-2.610303505317811,0.48193524980418345,experiments/results/stochastic_alignment_lr_sweep/subruns/band__rmsprop__lr_0p003
band,adam,0.003,8000,0.000597435170591808,6.785785640587383e-05,-2.7061808771543263,0.48202897371204695,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adam__lr_0p003
band,adamw,0.003,8000,0.0005985210848597042,6.769781240139386e-05,-2.70213542208891,0.4820473170150709,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adamw__lr_0p003
band,coord_oracle,0.02,8000,0.002057952241010446,4.299759524767967e-05,-1.7116082333969354,0.4987986786781865,experiments/results/stochastic_alignment_lr_sweep/subruns/band__coord_oracle__lr_0p02
band,spectral_oracle,0.02,8000,0.001822473783862166,4.503701594924572e-05,-1.751156681575434,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/band__spectral_oracle__lr_0p02
flat,sgd,0.1,8000,0.1161277929615474,0.0005633060747874262,-0.4911856453155694,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__sgd__lr_0p1
flat,rmsprop,0.01,8000,0.007994784896242122,0.004376134889149547,-1.1553401511076842,7.385829459838344e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__rmsprop__lr_0p01
flat,adam,0.01,8000,0.004956540225787474,0.0016986271315475223,-1.3493010729100692,5.051316795223748e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adam__lr_0p01
flat,adamw,0.01,8000,0.005222110425014292,0.001719601017138678,-1.3292806582131018,4.527922960062547e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adamw__lr_0p01
flat,coord_oracle,0.02,8000,0.04910625667111154,0.0006922340497050089,-0.643544090392685,-3.3306690738754696e-15,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__coord_oracle__lr_0p02
flat,spectral_oracle,0.02,8000,0.0018252255912009606,2.463695666320942e-05,-1.746007128702441,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__spectral_oracle__lr_0p02
haar,sgd,0.1,8000,0.11604226970884739,0.00029898020768563335,-0.4912486008658958,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/haar__sgd__lr_0p1
haar,rmsprop,0.01,8000,0.007100785877529841,0.00349873008004298,-1.1144496551657401,-0.0563413365967325,experiments/results/stochastic_alignment_lr_sweep/subruns/haar__rmsprop__lr_0p01
haar,adam,0.01,8000,0.0039255420811363,0.0011977110008732062,-1.4106142495162286,-0.035125412051605,experiments/results/stochastic_alignment_lr_sweep/subruns/haar__adam__lr_0p01
haar,adamw,0.01,8000,0.0040688735532214155,0.0012004105863332342,-1.3942849860127728,-0.03495183803461606,experiments/results/stochastic_alignment_lr_sweep/subruns/haar__adamw__lr_0p01
haar,coord_oracle,0.02,8000,0.04607473299097699,0.0012056879919625316,-0.6493952213450735,-0.017760313153957742,experiments/results/stochastic_alignment_lr_sweep/subruns/haar__coord_oracle__lr_0p02
haar,spectral_oracle,0.02,8000,0.0017980459127810364,3.444591924495343e-05,-1.751961540398095,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/haar__spectral_oracle__lr_0p02
