case,optimizer,lr,final_step,final_risk_mean,final_risk_std,risk_slope_loglog,final_q_eff_mean,run_outdir
aligned,sgd,0.01,8000,0.37828007405609004,0.0009884973874106197,-0.3558880185483345,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__sgd__lr_0p01
aligned,sgd,0.03,8000,0.23143833823923568,0.0006604873753459345,-0.40146545910283465,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__sgd__lr_0p03
aligned,sgd,0.05,8000,0.1772545960872926,0.0006042814121684516,-0.4327830577083963,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__sgd__lr_0p05
aligned,sgd,0.1,8000,0.1161277929615474,0.0005633060747874501,-0.4911856453155695,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__sgd__lr_0p1
aligned,rmsprop,0.001,8000,0.0062171800553502184,6.657651519944499e-05,-1.8392157881671714,0.4835917764970848,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__rmsprop__lr_0p001
aligned,rmsprop,0.003,8000,0.0005691678578901487,9.356924133872129e-05,-2.6203935186699163,0.47984084220526063,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__rmsprop__lr_0p003
aligned,rmsprop,0.005,8000,0.0009767314405898218,0.0001555241402750531,-2.1131617334024004,0.4806997477704643,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__rmsprop__lr_0p005
aligned,rmsprop,0.01,8000,0.0020248234139676855,0.0002858167254417372,-1.1003931865740002,0.4829628275476903,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__rmsprop__lr_0p01
aligned,rmsprop,0.02,8000,0.004336689036662002,0.000468547329274141,-0.22727264333086888,0.487544104935446,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__rmsprop__lr_0p02
aligned,adam,0.001,8000,0.006710071266123274,5.652982349131443e-05,-1.8781267857881077,0.48383281237017073,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adam__lr_0p001
aligned,adam,0.003,8000,0.0006035806575889991,8.463846897010052e-05,-2.6935524872915724,0.4801944484766694,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adam__lr_0p003
aligned,adam,0.005,8000,0.0010036135693676452,0.00013295115250777496,-2.2376507199403006,0.48109598094794004,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adam__lr_0p005
aligned,adam,0.01,8000,0.0020997609745792064,0.000370051094761036,-1.306884961967637,0.4830212059639486,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adam__lr_0p01
aligned,adam,0.02,8000,0.00437243498449799,0.0007395551610780305,-0.4137684101720093,0.4877626369267459,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adam__lr_0p02
aligned,adamw,0.001,8000,0.006848045103278244,5.798332770736253e-05,-1.871844347105654,0.483920952519699,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adamw__lr_0p001
aligned,adamw,0.003,8000,0.0006035817196705523,8.518021768255554e-05,-2.690125592581357,0.4801912569119432,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adamw__lr_0p003
aligned,adamw,0.005,8000,0.001003420037082779,0.00013275953745325273,-2.2386140222699216,0.48109594653205845,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adamw__lr_0p005
aligned,adamw,0.01,8000,0.002100339582241835,0.00036827244161400513,-1.310618541024191,0.4830240681616635,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adamw__lr_0p01
aligned,adamw,0.02,8000,0.004369542405386203,0.0007351711023403269,-0.41779217931909496,0.4877687698507853,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__adamw__lr_0p02
aligned,coord_oracle,0.001,8000,0.31033400923407267,0.0015963525425183196,-0.6444290497526932,0.4999865397818023,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__coord_oracle__lr_0p001
aligned,coord_oracle,0.003,8000,0.10378637339066596,0.0007950355930877193,-0.821422097064125,0.4999865397818023,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__coord_oracle__lr_0p003
aligned,coord_oracle,0.005,8000,0.05171684074040593,0.0004171160081194294,-0.9476188216514114,0.4999865397818023,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__coord_oracle__lr_0p005
aligned,coord_oracle,0.01,8000,0.013925090316306338,7.285098844464822e-05,-1.2331198919854858,0.4999865397818023,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__coord_oracle__lr_0p01
aligned,coord_oracle,0.02,8000,0.0018252255912009584,2.4636956663209997e-05,-1.7460071287024415,0.4999865397818023,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__coord_oracle__lr_0p02
aligned,spectral_oracle,0.001,8000,0.31033400923407267,0.0015963525425183196,-0.6444290497526932,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__spectral_oracle__lr_0p001
aligned,spectral_oracle,0.003,8000,0.10378637339066596,0.0007950355930877187,-0.821422097064125,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__spectral_oracle__lr_0p003
aligned,spectral_oracle,0.005,8000,0.05171684074040593,0.00041711600811942823,-0.9476188216514114,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__spectral_oracle__lr_0p005
aligned,spectral_oracle,0.01,8000,0.013925090316306335,7.285098844464861e-05,-1.2331198919854858,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__spectral_oracle__lr_0p01
aligned,spectral_oracle,0.02,8000,0.0018252255912009588,2.46369566632103e-05,-1.7460071287024412,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/aligned__spectral_oracle__lr_0p02
band,sgd,0.01,8000,0.37835923266510774,0.0007683224091039344,-0.35499634908261535,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/band__sgd__lr_0p01
band,sgd,0.03,8000,0.2318670458379911,0.0004098012555220134,-0.40086926966276754,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/band__sgd__lr_0p03
band,sgd,0.05,8000,0.1776389677947381,0.00035317155644303574,-0.4324654335403092,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/band__sgd__lr_0p05
band,sgd,0.1,8000,0.1162970122132079,0.0004691261585608322,-0.4926733383701735,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/band__sgd__lr_0p1
band,rmsprop,0.001,8000,0.008151936683095194,0.0002940654694985235,-1.7646607731128512,0.4857627146344415,experiments/results/stochastic_alignment_lr_sweep/subruns/band__rmsprop__lr_0p001
band,rmsprop,0.003,8000,0.0006092723880927631,6.977222167015529e-05,-2.610303505317811,0.48193524980418345,experiments/results/stochastic_alignment_lr_sweep/subruns/band__rmsprop__lr_0p003
band,rmsprop,0.005,8000,0.0010086049105336376,7.434001486429948e-05,-2.140370961722694,0.4829712614222359,experiments/results/stochastic_alignment_lr_sweep/subruns/band__rmsprop__lr_0p005
band,rmsprop,0.01,8000,0.0021063992559066146,0.0001313680584696558,-1.1439881887008034,0.4850600797369259,experiments/results/stochastic_alignment_lr_sweep/subruns/band__rmsprop__lr_0p01
band,rmsprop,0.02,8000,0.004843579181059651,0.0004414189772806658,-0.22104659666537071,0.4886152417950795,experiments/results/stochastic_alignment_lr_sweep/subruns/band__rmsprop__lr_0p02
band,adam,0.001,8000,0.008706362563639495,0.00028746203031755374,-1.800523637313537,0.48605816806454205,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adam__lr_0p001
band,adam,0.003,8000,0.000597435170591808,6.785785640587383e-05,-2.7061808771543263,0.48202897371204695,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adam__lr_0p003
band,adam,0.005,8000,0.0009900780103234577,0.00010810838991316095,-2.2807263476496686,0.48322303782606485,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adam__lr_0p005
band,adam,0.01,8000,0.0019467433986288351,0.00012633293533601293,-1.3827679989046688,0.48518833755181523,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adam__lr_0p01
band,adam,0.02,8000,0.004447084424887221,0.0006803642826237301,-0.44851459080292067,0.48808017586735575,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adam__lr_0p02
band,adamw,0.001,8000,0.008869671743753808,0.00029161058712218494,-1.7947529510560913,0.4861310569146176,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adamw__lr_0p001
band,adamw,0.003,8000,0.0005985210848597042,6.769781240139386e-05,-2.70213542208891,0.4820473170150709,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adamw__lr_0p003
band,adamw,0.005,8000,0.0009909557300765064,0.0001084232715747144,-2.281581837495228,0.48323898164432527,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adamw__lr_0p005
band,adamw,0.01,8000,0.0019474884518631645,0.00012340325903929304,-1.3864138888587534,0.48519918467888434,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adamw__lr_0p01
band,adamw,0.02,8000,0.004448064103398435,0.000678213973936439,-0.4521016559653521,0.4880827145504866,experiments/results/stochastic_alignment_lr_sweep/subruns/band__adamw__lr_0p02
band,coord_oracle,0.001,8000,0.31023835093306873,0.0008835030978826388,-0.6411992650156068,0.4987986786781865,experiments/results/stochastic_alignment_lr_sweep/subruns/band__coord_oracle__lr_0p001
band,coord_oracle,0.003,8000,0.10417918123303216,0.0006710918976084175,-0.816437172226941,0.4987986786781865,experiments/results/stochastic_alignment_lr_sweep/subruns/band__coord_oracle__lr_0p003
band,coord_oracle,0.005,8000,0.05224634008601461,0.00044571897928226477,-0.9424410775198238,0.4987986786781865,experiments/results/stochastic_alignment_lr_sweep/subruns/band__coord_oracle__lr_0p005
band,coord_oracle,0.01,8000,0.014434613968798391,0.0001749298503561754,-1.2230135819259356,0.4987986786781865,experiments/results/stochastic_alignment_lr_sweep/subruns/band__coord_oracle__lr_0p01
band,coord_oracle,0.02,8000,0.002057952241010446,4.299759524767967e-05,-1.7116082333969354,0.4987986786781865,experiments/results/stochastic_alignment_lr_sweep/subruns/band__coord_oracle__lr_0p02
band,spectral_oracle,0.001,8000,0.31003667787254596,0.0002847568221793476,-0.6439005155873189,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/band__spectral_oracle__lr_0p001
band,spectral_oracle,0.003,8000,0.10395213403312145,0.00043871404515217143,-0.8198492859408948,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/band__spectral_oracle__lr_0p003
band,spectral_oracle,0.005,8000,0.05179420645622841,0.0003843148086138786,-0.9463629537728457,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/band__spectral_oracle__lr_0p005
band,spectral_oracle,0.01,8000,0.013935038016428767,0.00017236843691821545,-1.2339018864693982,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/band__spectral_oracle__lr_0p01
band,spectral_oracle,0.02,8000,0.001822473783862166,4.503701594924572e-05,-1.751156681575434,0.5,experiments/results/stochastic_alignment_lr_sweep/subruns/band__spectral_oracle__lr_0p02
flat,sgd,0.01,8000,0.37828007405609,0.000988497387410586,-0.3558880185483346,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__sgd__lr_0p01
flat,sgd,0.03,8000,0.2314383382392356,0.0006604873753459659,-0.40146545910283477,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__sgd__lr_0p03
flat,sgd,0.05,8000,0.17725459608729255,0.000604281412168469,-0.4327830577083963,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__sgd__lr_0p05
flat,sgd,0.1,8000,0.1161277929615474,0.0005633060747874262,-0.4911856453155694,0.0,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__sgd__lr_0p1
flat,rmsprop,0.001,8000,0.10222486000188342,0.0009422316757921139,-0.6167110750771984,5.100899537087144e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__rmsprop__lr_0p001
flat,rmsprop,0.003,8000,0.025359089483407295,0.0024174550783478584,-0.9045057605411906,9.101583370418886e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__rmsprop__lr_0p003
flat,rmsprop,0.005,8000,0.013055543927611296,0.0034227518927818553,-1.0622193773040065,8.925292194534862e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__rmsprop__lr_0p005
flat,rmsprop,0.01,8000,0.007994784896242122,0.004376134889149547,-1.1553401511076842,7.385829459838344e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__rmsprop__lr_0p01
flat,rmsprop,0.02,8000,0.009758929051471672,0.00533448770410883,-1.1531035224102186,2.8790531925015906e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__rmsprop__lr_0p02
flat,adam,0.001,8000,0.10366753622265838,0.0006225146968250827,-0.6553076541453835,6.552665127503853e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adam__lr_0p001
flat,adam,0.003,8000,0.023817783012689036,0.0004512071485021584,-0.9667951007185323,4.7353379080217194e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adam__lr_0p003
flat,adam,0.005,8000,0.008739967803111327,0.0008338314824913421,-1.2236086191336055,0.00010685094323250599,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adam__lr_0p005
flat,adam,0.01,8000,0.004956540225787474,0.0016986271315475223,-1.3493010729100692,5.051316795223748e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adam__lr_0p01
flat,adam,0.02,8000,0.006023110285764305,0.003443428343330657,-1.1276326242158092,8.010548293484465e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adam__lr_0p02
flat,adamw,0.001,8000,0.1040583265085778,0.0006249243498218471,-0.6540902110032282,6.534564034401668e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adamw__lr_0p001
flat,adamw,0.003,8000,0.024380845261985237,0.0004422773450754553,-0.9593097510131556,4.6166647587897455e-05,experiments/results/stochastic_alignment_lr_sweep/subruns/flat__adamw__lr_0p003
