optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
adam,100,1.6666859307367785,0.004418098798248858,0.49874489277234124,-1.0267957562402197
adam,200,1.009245501318033,0.016813493530402925,0.5014954683610348,-1.0267957562402197
adam,400,0.4908014267042248,0.0017893470038419811,0.5046298169654047,-1.0267957562402197
adam,800,0.19764979327129015,0.0075084581880175095,0.507142837437489,-1.0267957562402197
adamw,100,1.7217357377628306,0.04327386420716305,0.5018731247432997,-1.0352765185142063
adamw,200,1.051527098907114,0.06143364975827156,0.5037280478463064,-1.0352765185142063
adamw,400,0.5050128691578788,0.009892489799390076,0.4999988316528058,-1.0352765185142063
adamw,800,0.20105191584109758,0.006063488747159474,0.5094153758820468,-1.0352765185142063
oracle,100,1.8688192080672774,0.03547856106492872,0.5,-0.6036956497767281
oracle,200,1.3537785179156265,0.027912886792357802,0.5,-0.6036956497767281
oracle,400,0.8805403503170735,0.005316038588117216,0.5,-0.6036956497767281
oracle,800,0.5346444692330805,0.005826642556105409,0.5,-0.6036956497767281
rmsprop,100,1.0366062407714876,0.03684196078503357,0.5016707034327555,-0.8831088358360695
rmsprop,200,0.6469136500691255,0.027332154571359787,0.4994704997230421,-0.8831088358360695
rmsprop,400,0.36691733809427296,0.0028827046325614427,0.5045219701260824,-0.8831088358360695
rmsprop,800,0.16276674653605822,0.0014335025630562083,0.5075851347889697,-0.8831088358360695
sgd,100,1.0106485926205195,0.014236362409584626,0.0,-0.33556718055420315
sgd,200,0.8213044332255339,0.004022481264894359,0.0,-0.33556718055420315
sgd,400,0.6532633028112151,0.0046501791478526676,0.0,-0.33556718055420315
sgd,800,0.5023651694606953,0.0018264027921852174,0.0,-0.33556718055420315
