optimizer,step,excess_risk,v_slope,q_eff,trial,a,b,dimension
sgd,100,1.020715221019766,0.0,0.0,0,1.5,1.4,512
sgd,200,0.8241487570051366,0.0,0.0,0,1.5,1.4,512
sgd,400,0.6499751296020362,0.0,0.0,0,1.5,1.4,512
sgd,800,0.5036566312602275,0.0,0.0,0,1.5,1.4,512
oracle,100,1.8437320769515253,1.0,0.5,0,1.5,1.4,512
oracle,200,1.3340411263822578,1.0,0.5,0,1.5,1.4,512
oracle,400,0.8767813433823665,1.0,0.5,0,1.5,1.4,512
oracle,800,0.5387645276960528,1.0,0.5,0,1.5,1.4,512
rmsprop,100,1.0626574410747938,1.001115196648485,0.5005575983242425,0,1.5,1.4,512
rmsprop,200,0.6662404019109729,0.9977439331162892,0.4988719665581446,0,1.5,1.4,512
rmsprop,400,0.368955718088115,1.0088518443291998,0.5044259221645999,0,1.5,1.4,512
rmsprop,800,0.16378038591924357,1.0227250278150009,0.5113625139075004,0,1.5,1.4,512
adam,100,1.6698099983569723,0.9936104781297825,0.49680523906489127,0,1.5,1.4,512
adam,200,0.997356566027249,1.004024061913811,0.5020120309569055,0,1.5,1.4,512
adam,400,0.4920666861045373,1.007669924327422,0.503834962163711,0,1.5,1.4,512
adam,800,0.1923405115702873,1.0146708369922852,0.5073354184961426,0,1.5,1.4,512
adamw,100,1.7523349805918613,1.0007287685906676,0.5003643842953338,0,1.5,1.4,512
adamw,200,1.094967249244227,1.008730046180039,0.5043650230900195,0,1.5,1.4,512
adamw,400,0.5120079157778462,0.9979210285832452,0.4989605142916226,0,1.5,1.4,512
adamw,800,0.20533944985186237,1.0153147251123265,0.5076573625561632,0,1.5,1.4,512
sgd,100,1.000581964221273,0.0,0.0,1,1.5,1.4,512
sgd,200,0.8184601094459313,0.0,0.0,1,1.5,1.4,512
sgd,400,0.656551476020394,0.0,0.0,1,1.5,1.4,512
sgd,800,0.5010737076611631,0.0,0.0,1,1.5,1.4,512
oracle,100,1.8939063391830295,1.0,0.5,1,1.5,1.4,512
oracle,200,1.373515909448995,1.0,0.5,1,1.5,1.4,512
oracle,400,0.8842993572517805,1.0,0.5,1,1.5,1.4,512
oracle,800,0.5305244107701083,1.0,0.5,1,1.5,1.4,512
rmsprop,100,1.0105550404681816,1.0055676170825372,0.5027838085412686,1,1.5,1.4,512
rmsprop,200,0.6275868982272781,1.0001380657758792,0.5000690328879396,1,1.5,1.4,512
rmsprop,400,0.36487895810043086,1.0092360361751298,0.5046180180875649,1,1.5,1.4,512
rmsprop,800,0.1617531071528729,1.007615511340878,0.503807755670439,1,1.5,1.4,512
adam,100,1.6635618631165845,1.0013690929595824,0.5006845464797912,1,1.5,1.4,512
adam,200,1.021134436608817,1.001957811530328,0.500978905765164,1,1.5,1.4,512
adam,400,0.4895361673039123,1.0108493435341968,0.5054246717670984,1,1.5,1.4,512
adam,800,0.20295907497229299,1.0139005127576708,0.5069502563788354,1,1.5,1.4,512
adamw,100,1.6911364949337997,1.0067637303825312,0.5033818651912656,1,1.5,1.4,512
adamw,200,1.0080869485700008,1.006182145205187,0.5030910726025934,1,1.5,1.4,512
adamw,400,0.49801782253791127,1.002074298027978,0.501037149013989,1,1.5,1.4,512
adamw,800,0.1967643818303328,1.0223467784158606,0.5111733892079303,1,1.5,1.4,512
