case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
band,sgd,250,1.2582546466383817,0.007121358192501382,0.0,-0.35499634908261535
band,sgd,500,1.0126746942763494,0.005817692890849829,0.0,-0.35499634908261535
band,sgd,1000,0.811220889017377,0.004753852032809766,0.0,-0.35499634908261535
band,sgd,2000,0.6393540398743432,0.0016893794089946866,0.0,-0.35499634908261535
band,sgd,4000,0.4961635703261124,0.0006440800383580502,0.0,-0.35499634908261535
band,sgd,8000,0.37835923266510774,0.0007683224091039344,0.0,-0.35499634908261535
