case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
haar,adamw,250,0.41067633873602594,0.009748110049595056,-0.021411737481390337,-1.2621035034365475
haar,adamw,500,0.27419729669692106,0.006407597462432599,-0.019852814365760984,-1.2621035034365475
haar,adamw,1000,0.16948313388708022,0.005499698566096667,-0.02266870393757068,-1.2621035034365475
haar,adamw,2000,0.09009995853230975,0.004522071929619933,-0.02370073963179018,-1.2621035034365475
haar,adamw,4000,0.036790318582477076,0.001826017630074951,-0.02306384845465579,-1.2621035034365475
haar,adamw,8000,0.007414887677050419,0.0007342122970234144,-0.02627748488630819,-1.2621035034365475
