case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
aligned,adam,250,0.651305124830686,0.020918574014731503,0.5064531225832294,-2.210370120626174
aligned,adam,500,0.26873689339021456,0.005369255981783221,0.5097263177415406,-2.210370120626174
aligned,adam,1000,0.07372512035170548,0.0005877617038159641,0.504539614834506,-2.210370120626174
aligned,adam,2000,0.0042072529534091145,0.00013731331263510212,0.4857280696311405,-2.210370120626174
aligned,adam,4000,0.0011095233296371154,0.00017400162727843649,0.4823642287825938,-2.210370120626174
aligned,adam,8000,0.001031877823888939,0.00017881092502574231,0.48148845473004276,-2.210370120626174
aligned,adamw,250,0.6603976980224809,0.012570462759643587,0.5051079518755556,-2.206110009601011
aligned,adamw,500,0.26973392042109073,0.005112408793660617,0.5080042903310944,-2.206110009601011
aligned,adamw,1000,0.07344845308143022,0.000720751792688821,0.5053514633767456,-2.206110009601011
aligned,adamw,2000,0.004156362134860037,0.0001522210605416353,0.4860496471298162,-2.206110009601011
aligned,adamw,4000,0.0009415147045189337,0.00022451727019856676,0.48262267964789923,-2.206110009601011
aligned,adamw,8000,0.001138903439785804,0.0001527914302799114,0.47920757026906324,-2.206110009601011
aligned,coord_oracle,250,1.155133116838101,0.018428710516648582,0.4999865397818023,-0.9460476005069639
aligned,coord_oracle,500,0.7354086245855443,0.003720526977925573,0.4999865397818023,-0.9460476005069639
aligned,coord_oracle,1000,0.4526579961936387,0.002989138109989699,0.4999865397818023,-0.9460476005069639
aligned,coord_oracle,2000,0.25782463801075634,0.001594011616637001,0.4999865397818023,-0.9460476005069639
aligned,coord_oracle,4000,0.12909125796869922,0.0009416273821107386,0.4999865397818023,-0.9460476005069639
aligned,coord_oracle,8000,0.051882617132229455,0.00040035342514696347,0.4999865397818023,-0.9460476005069639
aligned,rmsprop,250,0.41190340050617974,0.00826724684258634,0.5051682436644584,-2.0880156202923175
aligned,rmsprop,500,0.19495622986679262,0.004057502166766668,0.5081614982944572,-2.0880156202923175
aligned,rmsprop,1000,0.055048428750607156,0.002044604507058831,0.5021237969184018,-2.0880156202923175
aligned,rmsprop,2000,0.00309831124430172,0.00026185624004098224,0.4832700087622187,-2.0880156202923175
aligned,rmsprop,4000,0.0010999012293001539,0.00018701343778698037,0.48287389700731104,-2.0880156202923175
aligned,rmsprop,8000,0.0009927869780639463,8.528970065812626e-05,0.4826662246536527,-2.0880156202923175
aligned,sgd,250,0.7533036438639035,0.007275085929320455,0.0,-0.4324613170495742
aligned,sgd,500,0.5899150045023732,0.0033159707983319137,0.0,-0.4324613170495742
aligned,sgd,1000,0.45693199733363493,0.0025021129655953267,0.0,-0.4324613170495742
aligned,sgd,2000,0.3441083229488438,0.0010075215479644012,0.0,-0.4324613170495742
aligned,sgd,4000,0.25229834818344044,0.0011443993128277211,0.0,-0.4324613170495742
aligned,sgd,8000,0.17735314027815346,0.0008785210549613636,0.0,-0.4324613170495742
aligned,spectral_oracle,250,1.1592318687829812,0.01687342448539819,0.5,-0.9485354954784329
aligned,spectral_oracle,500,0.7405734717690239,0.006702073062011942,0.5,-0.9485354954784329
aligned,spectral_oracle,1000,0.45189737195008045,0.00332678444741557,0.5,-0.9485354954784329
aligned,spectral_oracle,2000,0.25661673918405264,0.00140083826471206,0.5,-0.9485354954784329
aligned,spectral_oracle,4000,0.12842275979579462,0.0005227969259698637,0.5,-0.9485354954784329
aligned,spectral_oracle,8000,0.05188942749772736,0.00032893566517439287,0.5,-0.9485354954784329
band,adam,250,0.7225254445028623,0.02514777704126725,0.5028312503076149,-2.2765490775571036
band,adam,500,0.2958347888869298,0.01003876582659018,0.5064833148648988,-2.2765490775571036
band,adam,1000,0.08108523209091582,0.0019517783686454038,0.5002434392353725,-2.2765490775571036
band,adam,2000,0.005302215256826886,0.0001425171077490448,0.48269056622371764,-2.2765490775571036
band,adam,4000,0.0011054340496386744,0.00031477294544610563,0.4792612589430149,-2.2765490775571036
band,adam,8000,0.0009488682442141515,6.441387492447687e-05,0.47721666841397264,-2.2765490775571036
band,adamw,250,0.7212043605516298,0.028799104831532595,0.5035440155635128,-2.2608710193975012
band,adamw,500,0.29785502533703917,0.005975626513962939,0.5076283214117341,-2.2608710193975012
band,adamw,1000,0.0818639417679553,0.0014462065589289645,0.5021151198840117,-2.2608710193975012
band,adamw,2000,0.0054301163108472295,0.00016379005401273835,0.4834773794180928,-2.2608710193975012
band,adamw,4000,0.0010024354224606683,0.0001638804173358828,0.4792906265022573,-2.2608710193975012
band,adamw,8000,0.001064322123618891,4.372923889787446e-05,0.4803835675223871,-2.2608710193975012
band,coord_oracle,250,1.1419795420047714,0.01812432061183672,0.4986290990764812,-0.9438889108538983
band,coord_oracle,500,0.7359369747916624,0.00848913854559973,0.4986290990764812,-0.9438889108538983
band,coord_oracle,1000,0.45203347195693394,0.0053832974593616975,0.4986290990764812,-0.9438889108538983
band,coord_oracle,2000,0.2569365707234669,0.0026419097321442224,0.4986290990764812,-0.9438889108538983
band,coord_oracle,4000,0.12873546021350807,0.0009933689793979572,0.4986290990764812,-0.9438889108538983
band,coord_oracle,8000,0.05234587355460609,0.0002784393252790509,0.4986290990764812,-0.9438889108538983
band,rmsprop,250,0.4545676618072781,0.004422438830228793,0.5019882819456821,-2.084381147025278
band,rmsprop,500,0.21465981919292246,0.0018619941562080609,0.5057717828147015,-2.084381147025278
band,rmsprop,1000,0.060616713947037305,0.00128036953828487,0.5017960415738612,-2.084381147025278
band,rmsprop,2000,0.0038880284529577203,0.00022592595594778523,0.48376718681663283,-2.084381147025278
band,rmsprop,4000,0.0011707376827594957,0.00026303320446859627,0.4799308224623153,-2.084381147025278
band,rmsprop,8000,0.0011259287714321113,0.0003217526906146818,0.48042570891370984,-2.084381147025278
band,sgd,250,0.7528608975124808,0.004165160775903418,0.0,-0.4316663259432759
band,sgd,500,0.5895084429837243,0.005870757840673339,0.0,-0.4316663259432759
band,sgd,1000,0.45673544913606784,0.001487768076279064,0.0,-0.4316663259432759
band,sgd,2000,0.34539586449361104,0.0008320222891532437,0.0,-0.4316663259432759
band,sgd,4000,0.2531817756289371,0.0007232831342296092,0.0,-0.4316663259432759
band,sgd,8000,0.17737140566626577,0.0006484389660655275,0.0,-0.4316663259432759
band,spectral_oracle,250,1.1507908384483696,0.02384852707285859,0.5,-0.9479303216201852
band,spectral_oracle,500,0.7359567401612621,0.009373120468439857,0.5,-0.9479303216201852
band,spectral_oracle,1000,0.44869821100622104,0.002652329918330954,0.5,-0.9479303216201852
band,spectral_oracle,2000,0.2546784659020055,0.0009306966385700364,0.5,-0.9479303216201852
band,spectral_oracle,4000,0.12792455367244954,0.0006930584214860459,0.5,-0.9479303216201852
band,spectral_oracle,8000,0.05159114871068142,0.00019743141092465148,0.5,-0.9479303216201852
flat,adam,250,0.4443005186814818,0.015883500461383905,6.799294950701195e-05,-1.2741273979628678
flat,adam,500,0.29431999055338587,0.006116717290759241,7.39774503296431e-05,-1.2741273979628678
flat,adam,1000,0.1773022044611757,0.002294491592250537,5.64475568248124e-05,-1.2741273979628678
