case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
aligned,sgd,250,0.5936315144347206,0.009785203480348066,0.0,-0.4911856453155695
aligned,sgd,500,0.45731392001945864,0.00579895341832101,0.0,-0.4911856453155695
aligned,sgd,1000,0.34694798112094666,0.002626878196200902,0.0,-0.4911856453155695
aligned,sgd,2000,0.2535642464780872,0.0013968533413678621,0.0,-0.4911856453155695
aligned,sgd,4000,0.17873299599884615,0.0020826978176283944,0.0,-0.4911856453155695
aligned,sgd,8000,0.1161277929615474,0.0005633060747874501,0.0,-0.4911856453155695
