case,optimizer,lr,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
aligned,adam,0.001,250,2.0652509738203113,0.013161128323530091,0.5092149661238101,-2.7604192615416685
aligned,adam,0.001,500,1.4683586998661475,0.009908535562215444,0.5092232414791175,-2.7604192615416685
aligned,adam,0.001,1000,0.7163153404203819,0.004655252190182825,0.5171052798276424,-2.7604192615416685
aligned,adam,0.001,2000,0.2397788053087254,0.0011913005938977781,0.51572829210541,-2.7604192615416685
aligned,adam,0.001,4000,0.04254732789818448,0.0005651903370579363,0.4935316971293595,-2.7604192615416685
aligned,adam,0.001,8000,0.00042179667308158645,2.1479275358459825e-05,0.4913958675015552,-2.7604192615416685
aligned,adam,0.003,250,1.0574572879141484,0.011965298842221127,0.5098702821185522,-2.7828179477172004
aligned,adam,0.003,500,0.4335925204413799,0.004434139180304259,0.5154113263268159,-2.7828179477172004
aligned,adam,0.003,1000,0.12772905330912782,0.00246284726233606,0.5156669519803802,-2.7828179477172004
aligned,adam,0.003,2000,0.00868540036695687,0.0002331731317543062,0.4862228184076476,-2.7828179477172004
aligned,adam,0.003,4000,0.0004961630360941759,7.519892580202171e-05,0.49533739579487435,-2.7828179477172004
aligned,adam,0.003,8000,0.0004506673046661785,7.584843003583379e-05,0.49300182247706736,-2.7828179477172004
aligned,adam,0.01,250,0.22641959717709703,0.004574024233822522,0.5192378093385134,-0.9923918509821138
aligned,adam,0.01,500,0.05180997450018645,0.0011999191603405232,0.5130212730753763,-0.9923918509821138
aligned,adam,0.01,1000,0.0017494754450914259,0.00016665428407773735,0.49389577467820966,-0.9923918509821138
aligned,adam,0.01,2000,0.001738631024991327,0.000540678665846297,0.4939542355327422,-0.9923918509821138
aligned,adam,0.01,4000,0.0015199759936965949,0.00011655410701766678,0.4958943030199968,-0.9923918509821138
aligned,adam,0.01,8000,0.001783406588690567,0.00026738044660714965,0.49530424277924806,-0.9923918509821138
aligned,adamw,0.001,250,2.0653461446276262,0.009811914607006488,0.5098009460454657,-2.737001333108588
aligned,adamw,0.001,500,1.4731212137115035,0.006771891559055108,0.510453440998376,-2.737001333108588
aligned,adamw,0.001,1000,0.7147484578929609,0.0065275221768323,0.5180368967196942,-2.737001333108588
aligned,adamw,0.001,2000,0.24110830235527403,0.0016542950949501964,0.5222754242996228,-2.737001333108588
aligned,adamw,0.001,4000,0.043341978933869416,0.00027896709152821207,0.4934820727704238,-2.737001333108588
aligned,adamw,0.001,8000,0.0004542168400240543,1.2399404032541526e-05,0.49463341393784327,-2.737001333108588
aligned,adamw,0.003,250,1.0738503039339458,0.017435547478863844,0.5116167682749504,-2.739240411002138
aligned,adamw,0.003,500,0.43822110576114764,0.008956911545071937,0.5173205784715201,-2.739240411002138
aligned,adamw,0.003,1000,0.12811443971741357,0.002875771395279985,0.5164672726715678,-2.739240411002138
aligned,adamw,0.003,2000,0.008709302490906252,0.000412196094487223,0.490621753869034,-2.739240411002138
aligned,adamw,0.003,4000,0.00048490171221494033,8.463404415928094e-05,0.4907953865247473,-2.739240411002138
aligned,adamw,0.003,8000,0.0005366582710293851,0.0001542288206695847,0.49535796262788007,-2.739240411002138
aligned,adamw,0.01,250,0.2280053388332674,0.0031720742780661764,0.5185719317218085,-1.014964740433792
aligned,adamw,0.01,500,0.05237309678085198,0.0019328093850113726,0.5088561760580331,-1.014964740433792
aligned,adamw,0.01,1000,0.0017517871113703586,0.00012930106491058585,0.4946382784787834,-1.014964740433792
aligned,adamw,0.01,2000,0.0016159214800809316,0.0001952860035262903,0.4983963373821503,-1.014964740433792
aligned,adamw,0.01,4000,0.0015932616931909366,0.00022854928843188386,0.49528597052728107,-1.014964740433792
aligned,adamw,0.01,8000,0.0016294130985702437,0.00026874470717330344,0.49037611330097375,-1.014964740433792
aligned,coord_oracle,0.001,250,2.211170360319401,0.0203623146314132,0.49999526395403676,-0.6991197547849869
aligned,coord_oracle,0.001,500,1.7790237802772957,0.013223803155741454,0.49999526395403676,-0.6991197547849869
aligned,coord_oracle,0.001,1000,1.2576177776861868,0.012569490412316956,0.49999526395403676,-0.6991197547849869
aligned,coord_oracle,0.001,2000,0.7951981305104681,0.003828694386005564,0.49999526395403676,-0.6991197547849869
aligned,coord_oracle,0.001,4000,0.4723717903360726,0.0025735906678751976,0.49999526395403676,-0.6991197547849869
aligned,coord_oracle,0.001,8000,0.2573558392379107,0.00163545454605715,0.49999526395403676,-0.6991197547849869
aligned,coord_oracle,0.003,250,1.471333739098538,0.010079277814028526,0.49999526395403676,-0.9502571529248921
aligned,coord_oracle,0.003,500,0.9696675891578849,0.00485804069365927,0.49999526395403676,-0.9502571529248921
aligned,coord_oracle,0.003,1000,0.5893975345735919,0.006258564149577576,0.49999526395403676,-0.9502571529248921
aligned,coord_oracle,0.003,2000,0.3352405195351512,0.002344919372713629,0.49999526395403676,-0.9502571529248921
aligned,coord_oracle,0.003,4000,0.16768397325319215,0.0010894234308384064,0.49999526395403676,-0.9502571529248921
aligned,coord_oracle,0.003,8000,0.06749968187578845,0.0004487166519927234,0.49999526395403676,-0.9502571529248921
aligned,coord_oracle,0.01,250,0.6788194433099337,0.011902783476434732,0.49999526395403676,-1.6004196001076496
aligned,coord_oracle,0.01,500,0.3944807594407901,0.00458294339624469,0.49999526395403676,-1.6004196001076496
aligned,coord_oracle,0.01,1000,0.20432218708629266,0.0031999970946668243,0.49999526395403676,-1.6004196001076496
aligned,coord_oracle,0.01,2000,0.08843767255504967,0.0018952638616290148,0.49999526395403676,-1.6004196001076496
aligned,coord_oracle,0.01,4000,0.027000176335137273,0.0005013477449016111,0.49999526395403676,-1.6004196001076496
aligned,coord_oracle,0.01,8000,0.0042328098903918945,7.741785725358738e-05,0.49999526395403676,-1.6004196001076496
aligned,rmsprop,0.001,250,1.7561211579310132,0.020074322408067495,0.5091024785766087,-2.7198660942186086
aligned,rmsprop,0.001,500,1.2326190080786348,0.010532240096243548,0.5134261812370566,-2.7198660942186086
aligned,rmsprop,0.001,1000,0.6025431757445912,0.0062679403447062285,0.5171869167942144,-2.7198660942186086
aligned,rmsprop,0.001,2000,0.21681893593706697,0.0016874090440994326,0.5201060932329886,-2.7198660942186086
aligned,rmsprop,0.001,4000,0.03839628397841518,0.0005350837973838532,0.4883505529765686,-2.7198660942186086
aligned,rmsprop,0.001,8000,0.00039343406171389855,5.237945046706235e-05,0.4894210354695094,-2.7198660942186086
