case,optimizer,lr,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
aligned,adam,0.001,8000,0.00042179667308158645,2.1479275358459825e-05,0.4913958675015552,-2.7604192615416685
aligned,adamw,0.001,8000,0.0004542168400240543,1.2399404032541526e-05,0.49463341393784327,-2.737001333108588
aligned,coord_oracle,0.01,8000,0.0042328098903918945,7.741785725358738e-05,0.49999526395403676,-1.6004196001076496
aligned,rmsprop,0.001,8000,0.00039343406171389855,5.237945046706235e-05,0.4894210354695094,-2.7198660942186086
aligned,sgd,0.1,8000,0.06487614970889272,0.0009189668084286355,0.0,-0.6430580092150986
aligned,spectral_oracle,0.01,8000,0.004267632790067156,2.433104012264798e-05,0.5,-1.5973721350486987
band,adam,0.003,8000,0.0004985777990633466,0.00013475521348203266,0.48058619020520366,-2.837508180927201
band,adamw,0.003,8000,0.0004299851711198373,4.793334487996151e-05,0.47900085284092214,-2.8682898005156336
band,coord_oracle,0.01,8000,0.004687954017788188,5.4220570239829246e-05,0.4860341691072515,-1.5709714456050579
band,rmsprop,0.003,8000,0.0004686611815508658,8.003454929076127e-05,0.4777991850554015,-2.7156554959111285
band,sgd,0.1,8000,0.06554393198492389,0.0014221089846950016,0.0,-0.639908087065655
band,spectral_oracle,0.01,8000,0.0042303409925183826,9.163027107239098e-05,0.5,-1.6003682571723123
gaussian_sketch,adam,0.01,8000,0.002578201372836648,0.0004722368421358278,-0.02731609483868489,-1.6833933231521454
gaussian_sketch,adamw,0.01,8000,0.0025572258723057986,0.000330914721354253,-0.02749943862593023,-1.686017630955419
gaussian_sketch,coord_oracle,0.01,8000,0.1298025452549089,0.0032187176732057063,-0.01998410976399829,-0.5329658007857638
gaussian_sketch,rmsprop,0.01,8000,0.002451747628609079,0.0004581500569905434,-0.02862647937407905,-1.6396895602164459
gaussian_sketch,sgd,0.1,8000,0.26259723228932047,0.001576628007512952,0.0,-0.4305148334641166
gaussian_sketch,spectral_oracle,0.01,8000,0.045912912649499336,0.0003759074341152017,0.5,-1.0426234791928881
haar,adam,0.01,8000,0.0021109677743983836,0.0014960591147543288,-0.030143835856222177,-1.685038161007447
haar,adamw,0.01,8000,0.002510832687744454,0.0014990125680664846,-0.033051036478437636,-1.6643942280181059
haar,coord_oracle,0.01,8000,0.059667874884503,0.0017762485489653083,-0.017666361031684064,-0.6568818557271118
haar,rmsprop,0.003,8000,0.004099991411640587,0.0006438590413837895,-0.02720083801027573,-1.4945544995196958
haar,sgd,0.1,8000,0.06456711125013007,0.00041648853708389967,0.0,-0.645046926223941
haar,spectral_oracle,0.01,8000,0.004325276218810978,6.129454592729893e-05,0.5,-1.5949413374031993
