dimension,a,rho,original_slope_obs,original_slope_pred,aligned_slope_obs,aligned_slope_pred,flat_slope_obs,flat_slope_pred,random_slope_obs,random_slope_pred,random_diag_condition,random_diag_slope
256,1.25,1e-12,-1.2500000000000013,-1.25,-0.6250000001838315,-0.625,-1.2500000000000013,-1.25,-1.2622565846861502,-1.25,7.793448193757317,-0.43399512474432356
256,1.25,1e-08,-1.2500000000000013,-1.25,-0.6250018383020997,-0.625,-1.2500000000000013,-1.25,-1.263686660162171,-1.25,6.353486285685476,-0.38446840833022483
256,1.5,1e-12,-1.500000000000001,-1.5,-0.7500000007104171,-0.75,-1.5000000000000013,-1.5,-1.5252821093265512,-1.5,17.643891984680028,-0.5675280849956525
256,1.5,1e-08,-1.500000000000001,-1.5,-0.7500071040701541,-0.75,-1.500000000000001,-1.5,-1.5299296102624376,-1.5,20.46070312044947,-0.5664906264612886
256,2.0,1e-12,-2.0000000000000018,-2.0,-1.000000010093923,-1.0,-2.0000000000000013,-2.0,-2.0706162540942907,-2.0,49.82010167554885,-0.8705018707653316
256,2.0,1e-08,-2.0000000000000018,-2.0,-1.0001009221543404,-1.0,-2.0000000000000013,-2.0,-2.0466968793569147,-2.0,33.34039914111818,-0.8250077927553223
512,1.25,1e-12,-1.2499999999999987,-1.25,-0.6250000004390691,-0.625,-1.2499999999999991,-1.25,-1.2647250144403563,-1.25,8.55130240282608,-0.4066583844095809
512,1.25,1e-08,-1.2499999999999987,-1.25,-0.6250043906574929,-0.625,-1.2499999999999991,-1.25,-1.2632430597585336,-1.25,8.885196593310482,-0.3983949566175394
512,1.5,1e-12,-1.4999999999999987,-1.5,-0.7500000020191082,-0.75,-1.4999999999999993,-1.5,-1.5263975261817107,-1.5,14.933937278526813,-0.5867352191234313
512,1.5,1e-08,-1.4999999999999987,-1.5,-0.7500201903272956,-0.75,-1.4999999999999987,-1.5,-1.5233025029778264,-1.5,13.548005168269931,-0.544130627368958
512,2.0,1e-12,-1.999999999999999,-2.0,-1.0000000406170533,-1.0,-1.9999999999999993,-2.0,-2.0586873604118994,-2.0,79.45352343217067,-0.8391389859145615
512,2.0,1e-08,-1.999999999999999,-2.0,-1.0004058950412362,-1.0,-1.999999999999999,-2.0,-2.0535422238415126,-2.0,56.067286039008636,-0.8074114263343808
1024,1.25,1e-12,-1.2499999999999993,-1.25,-0.6250000010432588,-0.625,-1.2499999999999993,-1.25,-1.2635560961541172,-1.25,8.163033411483243,-0.3850096620588789
1024,1.25,1e-08,-1.2499999999999993,-1.25,-0.6250104323675827,-0.625,-1.2499999999999993,-1.25,-1.26289745849778,-1.25,12.914075723270797,-0.3915057772202732
1024,1.5,1e-12,-1.4999999999999993,-1.5,-0.7500000057049303,-0.75,-1.499999999999999,-1.5,-1.5268203216899567,-1.5,22.500816815836625,-0.5477105914621174
1024,1.5,1e-08,-1.4999999999999993,-1.5,-0.7500570432478173,-0.75,-1.4999999999999987,-1.5,-1.5254504006812553,-1.5,19.04988411357654,-0.5920277846205146
1024,2.0,1e-12,-1.9999999999999993,-2.0,-1.0000001622944166,-1.0,-1.9999999999999976,-2.0,-2.0578665889451098,-2.0,122.66079505671124,-0.8194950458963436
1024,2.0,1e-08,-1.9999999999999993,-2.0,-1.0016185499870165,-1.0,-1.999999999999999,-2.0,-2.0568952604052897,-2.0,92.87826983386991,-0.8588736372115844
