case,description,dimension,ambient_dim,a,rho,theta_input,band_kappa,alpha_orig_hat,alpha_eff_hat,q_eff_hat,count_orig_slope_hat,count_eff_slope_hat,diag_profile_slope,theta_sorted_diag_hat,diag_condition,commutator_ratio,pred_q_eff_simple
aligned,eigenbasis coordinates,512,512,1.25,1e-12,nan,nan,1.2499999999999987,0.625000000439069,0.4999999996487443,0.7149827298583833,0.22892936938865532,-1.2499999999999987,1.0,2435.4961715255727,0.0,0.5
flat,scalar/flat diagonal profile,512,512,1.25,1e-12,nan,nan,1.2499999999999987,1.2499999999999991,-4.440892098500626e-16,0.7149827298583833,0.3311122668737972,-1.4135867061773956e-16,1.1308693649419176e-16,1.0,0.0,0.0
diagonal_profile,synthetic visible profile theta=0,512,512,1.25,1e-12,0.0,nan,1.2499999999999987,1.2499999999999993,-4.440892098500626e-16,0.7149827298583833,0.7149827298583833,0.0,-0.0,1.0,0.0,0.0
diagonal_profile,synthetic visible profile theta=0.25,512,512,1.25,1e-12,0.25,nan,1.2499999999999987,1.0937500000007814,0.12499999999937395,0.7149827298583833,0.663073002936002,-0.31249999999999967,0.25,7.025008641493199,0.0,0.125
diagonal_profile,synthetic visible profile theta=0.5,512,512,1.25,1e-12,0.5,nan,1.2499999999999987,0.9375000000079872,0.24999999999360945,0.7149827298583833,0.5578022648137285,-0.6249999999999993,0.5,49.350746413054104,0.0,0.25
diagonal_profile,synthetic visible profile theta=0.75,512,512,1.25,1e-12,0.75,nan,1.2499999999999987,0.7812500000622855,0.37499999995017097,0.7149827298583833,0.4078231577125874,-0.9374999999999994,0.7500000000000003,346.6894200158445,0.0,0.375
diagonal_profile,synthetic visible profile theta=1,512,512,1.25,1e-12,1.0,nan,1.2499999999999987,0.625000000439069,0.4999999996487443,0.7149827298583833,0.22892936938865532,-1.2499999999999987,1.0,2435.4961715255727,0.0,0.5
band,"block rotations, kappa=2",512,512,1.25,1e-12,nan,2.0,1.2499999999999987,0.6517439592485234,0.4786048326011808,0.7149827298583833,0.22726755648706987,-1.2123991768186115,0.9699193414548902,2133.071185746215,0.00877761981996511,0.5
haar,full Haar orthogonal rotation,512,512,1.25,1e-12,nan,nan,1.2499999999999996,1.264287783384131,-0.011430226707305202,0.7149827298583833,0.32222775603468007,-0.3816720541977032,0.3053376433581627,8.664205181314907,0.18838291081115532,0.0
gaussian_sketch,"Gaussian sketch m=512, ambient=4096",512,4096,1.25,1e-12,nan,nan,1.1916873619012922,1.208935941331261,-0.014474081022768814,0.8985594458364312,0.47183941191799483,-0.35620007521729713,0.2989039630738328,10.571769769071452,0.18904871301256004,0.0
