case,optimizer,lr,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
gaussian_sketch,adam,0.0003,250,2.3107922841168507,0.021521807560588076,-0.07563017977043485,-0.5667143294284263
gaussian_sketch,adam,0.0003,500,1.9263917467549792,0.02816484396460298,-0.0655199424847683,-0.5667143294284263
gaussian_sketch,adam,0.0003,1000,1.4299971985328446,0.02790082740494433,-0.044963066797443885,-0.5667143294284263
gaussian_sketch,adam,0.0003,2000,0.9955316048377915,0.015061770154242924,-0.025265119476853372,-0.5667143294284263
gaussian_sketch,adam,0.0003,4000,0.6708182482369919,0.009636080289097751,-0.021712173989109275,-0.5667143294284263
gaussian_sketch,adam,0.0003,8000,0.4387792947569985,0.010255985057596633,-0.02032956266823498,-0.5667143294284263
gaussian_sketch,adam,0.0003,16000,0.27083325998127206,0.006679786434087506,-0.02090632305791724,-0.5667143294284263
gaussian_sketch,adam,0.001,250,1.5930958914020406,0.04291641599610021,-0.05908565625569258,-0.7348945433008819
gaussian_sketch,adam,0.001,500,1.1391230647393884,0.017343086693665768,-0.03693157707417856,-0.7348945433008819
gaussian_sketch,adam,0.001,1000,0.7729137919027026,0.010872398767764328,-0.02341012242215539,-0.7348945433008819
gaussian_sketch,adam,0.001,2000,0.5062075509428102,0.01107708403773622,-0.020369896992407897,-0.7348945433008819
gaussian_sketch,adam,0.001,4000,0.315492901013246,0.008322754145721464,-0.02180736214608392,-0.7348945433008819
gaussian_sketch,adam,0.001,8000,0.1800842224349482,0.00396442938847082,-0.02120444276310962,-0.7348945433008819
gaussian_sketch,adam,0.001,16000,0.08485053360610575,0.002238748821754652,-0.02172476566542043,-0.7348945433008819
gaussian_sketch,adam,0.003,250,0.9436113630671841,0.017031939829876046,-0.037519353727204365,-1.1609246373471656
gaussian_sketch,adam,0.003,500,0.6358386731489388,0.01075725121762918,-0.02285303268624559,-1.1609246373471656
gaussian_sketch,adam,0.003,1000,0.40630226068896497,0.010972919256535166,-0.021453434508865388,-1.1609246373471656
gaussian_sketch,adam,0.003,2000,0.24177513603791406,0.007025433675378131,-0.020859190110324444,-1.1609246373471656
gaussian_sketch,adam,0.003,4000,0.12521852458834243,0.0028671568779277774,-0.021711047643910207,-1.1609246373471656
gaussian_sketch,adam,0.003,8000,0.048574455612919155,0.0020016163841756716,-0.023429539886355544,-1.1609246373471656
gaussian_sketch,adam,0.003,16000,0.00928214520834012,0.000943126886779199,-0.02313323625426471,-1.1609246373471656
gaussian_sketch,adam,0.01,250,0.4933848827527109,0.010434646066982536,-0.02595147764918877,-1.7768819147867072
gaussian_sketch,adam,0.01,500,0.3063558007085098,0.008088972732948526,-0.022003706935980506,-1.7768819147867072
gaussian_sketch,adam,0.01,1000,0.16910113066241422,0.0059210972971205054,-0.023035657969688428,-1.7768819147867072
gaussian_sketch,adam,0.01,2000,0.07423602188712106,0.0024331634091485873,-0.023747196546541914,-1.7768819147867072
gaussian_sketch,adam,0.01,4000,0.020068466837541328,0.002031057959913268,-0.026487316363745284,-1.7768819147867072
gaussian_sketch,adam,0.01,8000,0.0028266765835554793,0.0005096806507926859,-0.028751475488337695,-1.7768819147867072
gaussian_sketch,adam,0.01,16000,0.0008350359161428588,0.0003853932188101286,-0.027817252202837685,-1.7768819147867072
gaussian_sketch,adam,0.03,250,0.24934628872398798,0.007600471029930392,-0.025800184968550056,-1.1676195751356873
gaussian_sketch,adam,0.03,500,0.1334233110224761,0.0032751810665700124,-0.025821850264134992,-1.1676195751356873
gaussian_sketch,adam,0.03,1000,0.05255515119088487,0.0020422082264378374,-0.02705162411587365,-1.1676195751356873
