case,optimizer,lr,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
gaussian_sketch,adam,0.01,16000,0.0008350359161428588,0.0003853932188101286,-0.027817252202837685,-1.7768819147867072
gaussian_sketch,adamw,0.01,16000,0.0010407802425437085,0.00031242971312149493,-0.02757057342404181,-1.7247010742959543
gaussian_sketch,coord_oracle,0.1,16000,0.0016855593735320869,0.00022771613701516106,-0.02097137797289834,-1.3225763852724077
gaussian_sketch,rmsprop,0.01,16000,0.0015189891866168898,0.0010855646636948317,-0.03161382373935482,-1.6099906573495206
gaussian_sketch,sgd,0.3,16000,0.07366382750007373,0.0005017617778077555,0.0,-0.5854751227561699
gaussian_sketch,spectral_oracle,0.1,16000,0.0001454145366802788,3.0111737816640446e-05,0.5,-2.1045547570502947
haar,adam,0.003,16000,0.0012988647892735266,0.0006161585537537246,-0.024347537414901522,-1.681341560737019
haar,adamw,0.003,16000,0.0007839850503950458,0.00023457462886216997,-0.023062626997869828,-1.7761255506664664
haar,coord_oracle,0.1,16000,0.001562968880227553,0.0013672836824403178,-0.017687395160215315,-1.3357088155899706
haar,rmsprop,0.003,16000,0.0009504900456645717,0.0005461773793703967,-0.026889849687094493,-1.7010867120526916
haar,sgd,0.3,16000,0.002732268377937018,0.00022719422825273652,0.0,-1.2369745345802774
haar,spectral_oracle,0.03,16000,0.00011581558376133027,2.3574455196770212e-05,0.5,-2.2791719683548806
