optimizer,lr,step,excess_risk,q_eff,alpha_orig,alpha_eff,case,trial,a,b,dimension
sgd,0.03,250,0.8233577885307612,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.03,500,0.6397521218211648,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.03,1000,0.4867087405694951,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.03,2000,0.3596070947299627,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.03,4000,0.25564693706734076,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.03,8000,0.1701048388719999,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.03,16000,0.10252023776665017,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.1,250,0.5299000444899469,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.1,500,0.3943960945140462,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.1,1000,0.2829255048646167,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.1,2000,0.19178674085847866,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.1,4000,0.1198475317640065,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.1,8000,0.0639552446799634,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.1,16000,0.02717989134023551,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.3,250,0.3289993084402729,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.3,500,0.23124013307425112,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.3,1000,0.14952186424706168,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.3,2000,0.08659296026212614,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.3,4000,0.04081821259483367,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.3,8000,0.015263052155066605,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
sgd,0.3,16000,0.0028375894547051548,0.0,1.499999857916735,1.499999857916735,haar,0,1.5,1.4,256
rmsprop,0.0003,250,1.4010016785825163,-0.035019560391789106,1.4999998579167346,1.5525291935287246,haar,0,1.5,1.4,256
rmsprop,0.0003,500,1.0769532334234218,-0.02480946741035628,1.4999998579167346,1.5372140555072589,haar,0,1.5,1.4,256
rmsprop,0.0003,1000,0.7844764505749933,-0.01593275584367948,1.4999998579167346,1.5238989894184758,haar,0,1.5,1.4,256
rmsprop,0.0003,2000,0.5406803635424602,-0.014579073222426464,1.4999998579167346,1.521868465678932,haar,0,1.5,1.4,256
rmsprop,0.0003,4000,0.35693323369805197,-0.011994160498673079,1.4999998579167346,1.5179910969605748,haar,0,1.5,1.4,256
rmsprop,0.0003,8000,0.2180134343058513,-0.012840012304178083,1.4999998579167346,1.519259874548651,haar,0,1.5,1.4,256
rmsprop,0.0003,16000,0.11520837336560918,-0.013861661419799276,1.4999998579167346,1.5207923480769234,haar,0,1.5,1.4,256
rmsprop,0.001,250,0.7669819206566701,-0.017140517499540264,1.4999998579167346,1.5257106317306643,haar,0,1.5,1.4,256
rmsprop,0.001,500,0.5691516356743445,-0.01316950552904994,1.4999998579167346,1.5197541143391433,haar,0,1.5,1.4,256
rmsprop,0.001,1000,0.39394922636504587,-0.011603344891190082,1.4999998579167346,1.5174048736048786,haar,0,1.5,1.4,256
rmsprop,0.001,2000,0.24965112971051867,-0.014930845507809876,1.4999998579167346,1.5223961240570263,haar,0,1.5,1.4,256
rmsprop,0.001,4000,0.14032539641098035,-0.012179541517573833,1.4999998579167346,1.5182691684625862,haar,0,1.5,1.4,256
rmsprop,0.001,8000,0.06110785050357934,-0.013470023823475952,1.4999998579167346,1.5202048917380837,haar,0,1.5,1.4,256
rmsprop,0.001,16000,0.013208528258386948,-0.015105264091348714,1.4999998579167346,1.5226577519075524,haar,0,1.5,1.4,256
rmsprop,0.003,250,0.42802382896209334,-0.013331229306734693,1.4999998579167346,1.5199966999826922,haar,0,1.5,1.4,256
rmsprop,0.003,500,0.2962512688699317,-0.01301423989624273,1.4999998579167346,1.519521215911993,haar,0,1.5,1.4,256
rmsprop,0.003,1000,0.1830519048567255,-0.013322965321248548,1.4999998579167346,1.519984304005637,haar,0,1.5,1.4,256
rmsprop,0.003,2000,0.09473969324461315,-0.016322514162256718,1.4999998579167346,1.5244836268409636,haar,0,1.5,1.4,256
rmsprop,0.003,4000,0.031164515488037142,-0.015032702043924262,1.4999998579167346,1.5225489088467257,haar,0,1.5,1.4,256
rmsprop,0.003,8000,0.004100481643711386,-0.019018540381300575,1.4999998579167346,1.528527665786469,haar,0,1.5,1.4,256
rmsprop,0.003,16000,0.0009135579870678976,-0.02034380182032769,1.4999998579167346,1.5305155577567124,haar,0,1.5,1.4,256
rmsprop,0.01,250,0.2041349079248772,-0.01580395634376819,1.4999998579167346,1.5237057901869093,haar,0,1.5,1.4,256
rmsprop,0.01,500,0.12393362246561515,-0.016580009517331185,1.4999998579167346,1.5248698698369896,haar,0,1.5,1.4,256
