case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
aligned,rmsprop,250,0.4046271067456734,0.011514075723445982,0.5083826848686173,-2.1131617334024004
aligned,rmsprop,500,0.19169808931097415,0.003657120955265032,0.5078362680992862,-2.1131617334024004
aligned,rmsprop,1000,0.053906793488036675,0.0010314074110683242,0.5022288887648649,-2.1131617334024004
aligned,rmsprop,2000,0.003050225302710398,0.00020993060428086167,0.4856599565550078,-2.1131617334024004
aligned,rmsprop,4000,0.0009038119064169369,7.969563350422552e-05,0.4837514737607972,-2.1131617334024004
aligned,rmsprop,8000,0.0009767314405898218,0.0001555241402750531,0.4806997477704643,-2.1131617334024004
