case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
band,adam,250,0.12153532447349089,0.5055474248427594,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,500,0.021582512728569033,0.4966473643145567,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,1000,0.004311597128345377,0.48696765118628693,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,2000,0.004541224787845713,0.4864123364778584,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,4000,0.0047449052409590875,0.4835613240457016,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,8000,0.004692678086910518,0.4894083028354007,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,250,0.12462090655311187,0.5035870004761922,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,500,0.02293386928787256,0.49904822234309953,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,1000,0.0040976817838226515,0.4891629531081164,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,2000,0.004501120236794261,0.4847581954861111,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,4000,0.004408697037374446,0.4846976031796624,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,8000,0.005284873724212288,0.4942275671533062,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,250,0.12556071218787995,0.5040858501411689,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,500,0.02140303744884869,0.5025178254215696,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,1000,0.00481296570511241,0.488535171922567,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,2000,0.004251981379435207,0.4868443758219291,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,4000,0.006219630692895614,0.4877864555475704,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,8000,0.0036274248498083866,0.48537808049287134,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,250,0.12416898681452007,0.5071122468655083,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,500,0.020534861747935833,0.49907981219504693,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,1000,0.004229910859004088,0.48345164021035514,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,2000,0.00386914652192136,0.4882458325316742,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,4000,0.004265296705607054,0.4888964841560187,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,8000,0.0038777537384856978,0.48531892454631376,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,250,0.12929875709818373,0.5047677240169532,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,500,0.0205094334178697,0.4993019349652774,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,1000,0.004486271175652909,0.4856787941635632,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,2000,0.00465469432847021,0.48556188193711225,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,4000,0.003030045367578539,0.4911131470911696,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,8000,0.004752691725019215,0.48606800430888675,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
