step,excess_risk,trial,theta,lr,a,b,dimension,q_eff_pred
250,2.5077165056288755,0,0.0,0.001,1.5,1.4,2048,0.0
500,2.1640312157652835,0,0.0,0.001,1.5,1.4,2048,0.0
1000,1.772514286695813,0,0.0,0.001,1.5,1.4,2048,0.0
2000,1.4374077352248191,0,0.0,0.001,1.5,1.4,2048,0.0
4000,1.1795604631464949,0,0.0,0.001,1.5,1.4,2048,0.0
8000,0.9607897384244786,0,0.0,0.001,1.5,1.4,2048,0.0
250,1.92528702313534,0,0.0,0.003,1.5,1.4,2048,0.0
500,1.5772315287064693,0,0.0,0.003,1.5,1.4,2048,0.0
1000,1.2849562492444466,0,0.0,0.003,1.5,1.4,2048,0.0
2000,1.0479497746717448,0,0.0,0.003,1.5,1.4,2048,0.0
4000,0.8491660870926376,0,0.0,0.003,1.5,1.4,2048,0.0
8000,0.6846123672641482,0,0.0,0.003,1.5,1.4,2048,0.0
250,1.6673846914335486,0,0.0,0.005,1.5,1.4,2048,0.0
500,1.3600880380902043,0,0.0,0.005,1.5,1.4,2048,0.0
1000,1.1132883197698202,0,0.0,0.005,1.5,1.4,2048,0.0
2000,0.9025282256146899,0,0.0,0.005,1.5,1.4,2048,0.0
4000,0.7254129307775999,0,0.0,0.005,1.5,1.4,2048,0.0
8000,0.5825426881819137,0,0.0,0.005,1.5,1.4,2048,0.0
250,1.3544198044861573,0,0.0,0.01,1.5,1.4,2048,0.0
500,1.107767812595135,0,0.0,0.01,1.5,1.4,2048,0.0
1000,0.8959018533363748,0,0.0,0.01,1.5,1.4,2048,0.0
2000,0.7254888742245221,0,0.0,0.01,1.5,1.4,2048,0.0
4000,0.5853771780397095,0,0.0,0.01,1.5,1.4,2048,0.0
8000,0.4666909235308765,0,0.0,0.01,1.5,1.4,2048,0.0
250,0.989372220346311,0,0.0,0.03,1.5,1.4,2048,0.0
500,0.7959911795316502,0,0.0,0.03,1.5,1.4,2048,0.0
1000,0.6428146563232868,0,0.0,0.03,1.5,1.4,2048,0.0
2000,0.5147912689446871,0,0.0,0.03,1.5,1.4,2048,0.0
4000,0.4078684088039339,0,0.0,0.03,1.5,1.4,2048,0.0
8000,0.31747582836483157,0,0.0,0.03,1.5,1.4,2048,0.0
250,2.453467700009449,0,0.25,0.001,1.5,1.4,2048,0.125
500,2.111999492386867,0,0.25,0.001,1.5,1.4,2048,0.125
1000,1.699180727150704,0,0.25,0.001,1.5,1.4,2048,0.125
2000,1.3398542572525205,0,0.25,0.001,1.5,1.4,2048,0.125
4000,1.0700385174449587,0,0.25,0.001,1.5,1.4,2048,0.125
8000,0.8438158656744434,0,0.25,0.001,1.5,1.4,2048,0.125
250,1.8959112811385501,0,0.25,0.003,1.5,1.4,2048,0.125
500,1.4815772910902625,0,0.25,0.003,1.5,1.4,2048,0.125
1000,1.1782324323915672,0,0.25,0.003,1.5,1.4,2048,0.125
2000,0.9359217827941214,0,0.25,0.003,1.5,1.4,2048,0.125
4000,0.735055032794,0,0.25,0.003,1.5,1.4,2048,0.125
8000,0.5707984160110768,0,0.25,0.003,1.5,1.4,2048,0.125
250,1.603217273494338,0,0.25,0.005,1.5,1.4,2048,0.125
500,1.2515453637830514,0,0.25,0.005,1.5,1.4,2048,0.125
1000,0.9892006090628281,0,0.25,0.005,1.5,1.4,2048,0.125
2000,0.7767561703057474,0,0.25,0.005,1.5,1.4,2048,0.125
4000,0.6090936305514093,0,0.25,0.005,1.5,1.4,2048,0.125
8000,0.46975159866076277,0,0.25,0.005,1.5,1.4,2048,0.125
250,1.2600797100956027,0,0.25,0.01,1.5,1.4,2048,0.125
500,0.9995326178227165,0,0.25,0.01,1.5,1.4,2048,0.125
1000,0.7844108178608911,0,0.25,0.01,1.5,1.4,2048,0.125
2000,0.608344415045871,0,0.25,0.01,1.5,1.4,2048,0.125
4000,0.47055612113480505,0,0.25,0.01,1.5,1.4,2048,0.125
8000,0.3586853667629531,0,0.25,0.01,1.5,1.4,2048,0.125
250,0.8852337864215363,0,0.25,0.03,1.5,1.4,2048,0.125
500,0.6906576214806149,0,0.25,0.03,1.5,1.4,2048,0.125
1000,0.5367873996762634,0,0.25,0.03,1.5,1.4,2048,0.125
2000,0.4105806317376756,0,0.25,0.03,1.5,1.4,2048,0.125
4000,0.306654597026435,0,0.25,0.03,1.5,1.4,2048,0.125
8000,0.2247549019917765,0,0.25,0.03,1.5,1.4,2048,0.125
250,2.436679185635066,0,0.5,0.001,1.5,1.4,2048,0.25
500,2.0653265083998646,0,0.5,0.001,1.5,1.4,2048,0.25
1000,1.6190361166119143,0,0.5,0.001,1.5,1.4,2048,0.25
2000,1.2352054569780222,0,0.5,0.001,1.5,1.4,2048,0.25
4000,0.940430856929087,0,0.5,0.001,1.5,1.4,2048,0.25
8000,0.7115163997483367,0,0.5,0.001,1.5,1.4,2048,0.25
250,1.8040287754510143,0,0.5,0.003,1.5,1.4,2048,0.25
500,1.3822446076534292,0,0.5,0.003,1.5,1.4,2048,0.25
1000,1.0568574403574051,0,0.5,0.003,1.5,1.4,2048,0.25
2000,0.8018132232469722,0,0.5,0.003,1.5,1.4,2048,0.25
4000,0.6009006563853646,0,0.5,0.003,1.5,1.4,2048,0.25
8000,0.44522434442598435,0,0.5,0.003,1.5,1.4,2048,0.25
250,1.4848849035749174,0,0.5,0.005,1.5,1.4,2048,0.25
500,1.1301037316608349,0,0.5,0.005,1.5,1.4,2048,0.25
1000,0.8651211889047532,0,0.5,0.005,1.5,1.4,2048,0.25
2000,0.6525122813161967,0,0.5,0.005,1.5,1.4,2048,0.25
4000,0.48249779699908046,0,0.5,0.005,1.5,1.4,2048,0.25
8000,0.3508433541784013,0,0.5,0.005,1.5,1.4,2048,0.25
250,1.150637141929228,0,0.5,0.01,1.5,1.4,2048,0.25
500,0.8712218894713646,0,0.5,0.01,1.5,1.4,2048,0.25
1000,0.6562675850000746,0,0.5,0.01,1.5,1.4,2048,0.25
2000,0.48384602641604674,0,0.5,0.01,1.5,1.4,2048,0.25
4000,0.3521187389470092,0,0.5,0.01,1.5,1.4,2048,0.25
8000,0.24993184364898724,0,0.5,0.01,1.5,1.4,2048,0.25
250,0.7487888644662734,0,0.5,0.03,1.5,1.4,2048,0.25
500,0.553169038077743,0,0.5,0.03,1.5,1.4,2048,0.25
1000,0.40397022231065194,0,0.5,0.03,1.5,1.4,2048,0.25
2000,0.29081921597563487,0,0.5,0.03,1.5,1.4,2048,0.25
4000,0.20304672204671184,0,0.5,0.03,1.5,1.4,2048,0.25
8000,0.13326531884934745,0,0.5,0.03,1.5,1.4,2048,0.25
250,2.4029034888068868,0,0.75,0.001,1.5,1.4,2048,0.375
500,2.002159944512093,0,0.75,0.001,1.5,1.4,2048,0.375
1000,1.533013171513886,0,0.75,0.001,1.5,1.4,2048,0.375
2000,1.1047266345112732,0,0.75,0.001,1.5,1.4,2048,0.375
4000,0.7934417751445629,0,0.75,0.001,1.5,1.4,2048,0.375
8000,0.5609198901360934,0,0.75,0.001,1.5,1.4,2048,0.375
250,1.7069443667981976,0,0.75,0.003,1.5,1.4,2048,0.375
500,1.2740633170721989,0,0.75,0.003,1.5,1.4,2048,0.375
1000,0.9155979199803067,0,0.75,0.003,1.5,1.4,2048,0.375
2000,0.6511584201150343,0,0.75,0.003,1.5,1.4,2048,0.375
4000,0.4529144230559495,0,0.75,0.003,1.5,1.4,2048,0.375
8000,0.308135779526472,0,0.75,0.003,1.5,1.4,2048,0.375
250,1.380942630575269,0,0.75,0.005,1.5,1.4,2048,0.375
500,0.9961849152443246,0,0.75,0.005,1.5,1.4,2048,0.375
1000,0.7114559838763945,0,0.75,0.005,1.5,1.4,2048,0.375
2000,0.49752390808347424,0,0.75,0.005,1.5,1.4,2048,0.375
4000,0.34264223549952616,0,0.75,0.005,1.5,1.4,2048,0.375
8000,0.22544024227585707,0,0.75,0.005,1.5,1.4,2048,0.375
250,0.997952208096686,0,0.75,0.01,1.5,1.4,2048,0.375
500,0.7053707162120214,0,0.75,0.01,1.5,1.4,2048,0.375
1000,0.4933077467349246,0,0.75,0.01,1.5,1.4,2048,0.375
2000,0.33949774611629335,0,0.75,0.01,1.5,1.4,2048,0.375
4000,0.22579172131104025,0,0.75,0.01,1.5,1.4,2048,0.375
8000,0.14035681063267555,0,0.75,0.01,1.5,1.4,2048,0.375
250,0.5693712759992773,0,0.75,0.03,1.5,1.4,2048,0.375
500,0.4054918981679668,0,0.75,0.03,1.5,1.4,2048,0.375
