case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
flat,rmsprop,250,0.3242799553557325,-5.533945817814967e-06,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,500,0.244338226187226,0.00014739147396980457,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,1000,0.1578160589138129,-2.6262365325768755e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,2000,0.09349447574834228,9.455669537772327e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,4000,0.03859386099905042,9.537386143509963e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,8000,0.010965311266905486,1.4408119549447207e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,250,0.3684906485866928,0.00011278085900878754,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,500,0.259706664457249,-1.138061383798572e-06,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,1000,0.16831268648694223,9.68039997402137e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,2000,0.09528075125781393,6.636203871035473e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,4000,0.0395683335434837,5.9741249746281255e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,8000,0.008978504267498685,0.00011221068754663222,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,250,0.3524489109165267,9.431186690722626e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,500,0.250395401106756,4.127255513841632e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,1000,0.18267223842475527,5.782939663678821e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,2000,0.09296257905456881,0.0001225489985278161,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,4000,0.03935768977807016,9.194336219808807e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,8000,0.01807580606334385,0.00012039684090481284,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,250,0.34514000669357436,0.000155794963513034,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,500,0.25104124869198186,8.531356732988105e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,1000,0.1779966900301475,1.5172585024370022e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,2000,0.0932228562743186,0.0001570415910467915,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,4000,0.04046007127480904,8.669271263272993e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,8000,0.013695189092498068,6.385390800567325e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,250,0.3532704288296372,-1.0179338346683053e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,500,0.25573142773927326,5.2896217380027366e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,1000,0.1728605799628659,5.202573268914268e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,2000,0.0919488316035201,7.641061402452465e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,4000,0.0456181804909677,-7.774968908691449e-07,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,8000,0.013562908947810396,0.00013539505372017757,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
