theta,lr,step,risk_mean,risk_std,risk_slope_loglog,q_eff_pred,alpha_eff_pred,count_slope_pred
0.0,0.003,250,1.8524537917029247,0.01587074733825108,nan,0.0,1.5,0.6666666666666666
0.0,0.003,500,1.4825989098090804,0.0052002446481153085,nan,0.0,1.5,0.6666666666666666
0.0,0.003,1000,1.1952179155272662,0.003344746563872661,nan,0.0,1.5,0.6666666666666666
0.0,0.01,250,1.2812676170726136,0.0020639418791031654,nan,0.0,1.5,0.6666666666666666
0.0,0.01,500,1.0288570686965643,0.006100328820115218,nan,0.0,1.5,0.6666666666666666
0.0,0.01,1000,0.8102860096753601,0.0013392278642397816,nan,0.0,1.5,0.6666666666666666
0.5,0.003,250,1.7110287151524495,0.017311847095037653,nan,0.25,1.125,0.8888888888888888
0.5,0.003,500,1.2989055838202244,0.008005436866511728,nan,0.25,1.125,0.8888888888888888
0.5,0.003,1000,0.9710159196361624,0.00026131088512192714,nan,0.25,1.125,0.8888888888888888
0.5,0.01,250,1.0457635977920174,0.011478428280991179,nan,0.25,1.125,0.8888888888888888
0.5,0.01,500,0.773572912870906,0.0058111630451260455,nan,0.25,1.125,0.8888888888888888
0.5,0.01,1000,0.5652038623810134,0.01006648327462907,nan,0.25,1.125,0.8888888888888888
1.0,0.003,250,1.5416938158861648,0.006484083645392325,nan,0.5,0.75,1.3333333333333333
1.0,0.003,500,1.0254594276989004,0.02124743335364224,nan,0.5,0.75,1.3333333333333333
1.0,0.003,1000,0.6487817427536393,0.020636744162085087,nan,0.5,0.75,1.3333333333333333
1.0,0.01,250,0.7382596905593966,0.03497270338679886,nan,0.5,0.75,1.3333333333333333
1.0,0.01,500,0.45231623879993765,0.014309679239445273,nan,0.5,0.75,1.3333333333333333
1.0,0.01,1000,0.25748016279049085,0.008776614058818315,nan,0.5,0.75,1.3333333333333333
