C,M_opt,N_opt,K_opt,n_eff_opt,gamma_eff_opt,risk_opt,K_time_cap,K_wd_cap,a,b,theta,q_eff,alpha,weight_decay,phase
10000.0,48.43572732047788,206.45916874199912,5.9103253909672055,206.45916874199906,0.9999999999999998,0.7317406715709548,5.9103253909672055,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
14251.026703029993,55.95441708000796,254.68993239001617,6.338754414933956,254.6899323900161,0.9999999999999998,0.7025602367278577,6.338754414933956,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
20309.17620904735,63.72598564616603,318.69536427121886,6.830595726796721,318.69536427121875,0.9999999999999997,0.6749010971783524,6.830595726796721,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
28942.661247167518,72.49116351748678,399.25778319430316,7.363502925496753,399.257783194303,0.9999999999999996,0.6486494483471178,7.363502925496753,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
41246.26382901348,82.36446898889776,500.77739024303344,7.94111656348365,500.7773902430333,0.9999999999999998,0.6236999953857921,7.94111656348365,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
58780.16072274912,91.98651789618825,639.0084337042272,8.613285907981824,639.0084337042272,1.0,0.5999561282761705,8.613285907981824,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
83767.76400682924,104.20650252898665,803.8631176929476,9.298096182894946,803.8631176929473,0.9999999999999996,0.5773317792804394,9.298096182894946,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
119377.66417144357,119.95610072091662,995.1779313765891,9.98390053254629,995.1779313765888,0.9999999999999998,0.5557599947477814,9.98390053254629,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
170125.42798525892,170.95373475765592,995.1547898408232,9.983823144515178,995.1547898408228,0.9999999999999996,0.536291026447103,9.983823144515178,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
242446.20170823307,242.61337143614705,999.3109624299583,9.997702680372528,999.3109624299582,0.9999999999999999,0.5193302597638414,9.997702680372528,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
345510.7294592218,348.81995031891535,990.5130974972388,9.96827645977714,990.5130974972385,0.9999999999999997,0.5048294751889109,9.96827645977714,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
492388.26317067415,488.58769278142114,1007.778686293994,9.999999999999998,999.9999999999994,0.9922813546269768,0.49205778364636554,10.02586201228655,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
701703.8286703837,705.7673574572877,994.2423962457771,9.980771035879703,994.242396245777,0.9999999999999999,0.480985315336543,9.980771035879703,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
1000000.0,989.6786625907839,1010.4289784142632,9.999999999999998,999.9999999999994,0.9896786625907833,0.47136208229582505,10.03464310829646,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
1425102.6703029992,1431.2143551294594,995.7297208454094,9.98574542651961,995.7297208454087,0.9999999999999993,0.46302906586692455,9.98574542651961,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
2030917.620904739,2002.1090310411287,1014.3891213799827,9.999999999999998,999.9999999999994,0.98581498847266,0.4557627905326294,10.047735507486168,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
2894266.1247167517,2888.341918046613,1002.0510752667901,9.999999999999998,999.9999999999994,0.9979531230319326,0.4493667844898953,10.006832248530877,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
4124626.382901348,4110.36089810216,1003.4706161217559,9.999999999999998,999.9999999999994,0.9965413873949096,0.4439191883951841,10.011555362622165,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
5878016.072274912,5759.851236301859,1020.515258315755,9.999999999999998,999.9999999999994,0.9798971567072758,0.4392271330173997,10.067921812627352,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
8376776.400682924,8328.700665008517,1005.7722972175467,9.999999999999998,999.9999999999994,0.9942608309718649,0.4350749901805149,10.01920408741976,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
11937766.417144358,11269.654829193512,1059.2841216591776,9.999999999999998,999.9999999999994,0.9440337861703051,0.43149366147904533,10.193832365367337,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
17012542.798525892,14560.158302127027,1168.4311698754407,9.999999999999998,999.9999999999994,0.8558484451476961,0.42827957608084094,10.532570578328482,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
24244620.170823306,18855.97233357562,1285.7793669781995,9.999999999999998,999.9999999999994,0.7777384096232387,0.4253749400588539,10.873987199756696,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
34551072.94592218,24477.052598613296,1411.5699922089316,9.999999999999998,999.9999999999994,0.7084310416907658,0.42275034240247555,11.217622110527193,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
49238826.317067415,30992.731630393144,1588.7217333492852,9.999999999999998,999.9999999999994,0.6294368478813693,0.4203785692921454,11.668524583968521,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
70170382.86703837,40398.74861853521,1736.9444665135925,9.999999999999998,999.9999999999994,0.5757236453317397,0.41823427686433357,12.020669161968051,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
100000000.0,51304.19042728678,1949.1585222795707,9.999999999999998,999.9999999999994,0.5130419042728676,0.416297459912477,12.491532446200882,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
142510267.03029963,67151.97097993639,2122.205274851556,9.999999999999998,999.9999999999994,0.47120795139383836,0.4145459684133252,12.850769382390762,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
203091762.0904739,85531.85321278358,2374.457637264427,9.999999999999998,999.9999999999994,0.42114880649211445,0.4129637365990814,13.34099255813787,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
289426612.47167516,112416.91823354003,2574.5823406260533,9.999999999999998,999.9999999999994,0.3884125142242809,0.4115339091000765,13.705732839021653,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
412462638.29013646,143610.10008366028,2872.1004863157655,9.999999999999998,999.9999999999994,0.3481772329222248,0.41024113204955803,14.214553099359359,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
587801607.2274925,183675.81302344528,3200.2123608537536,9.999999999999998,999.9999999999994,0.3124792630115394,0.4090731032484291,14.736451964048532,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
837677640.0682924,235197.46338327494,3561.5930036763325,9.999999999999998,999.9999999999994,0.28077323797743975,0.40801765976595294,15.27149062331733,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
1193776641.7144358,301527.5318701428,3959.0966513417857,9.999999999999998,999.9999999999994,0.2525828713125979,0.40706386157337593,15.819716681413558,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
1701254279.8525858,387021.4081736638,4395.762725066622,9.999999999999998,999.9999999999994,0.2274918057559268,0.40620186106360123,16.38116358699633,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
2424462017.0823307,514421.02497864445,4712.991692326299,9.999999999999998,999.9999999999994,0.2121794531546069,0.4054226131317156,16.766106663175762,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
3455107294.5922184,662233.1516835144,5217.357792808653,9.999999999999998,999.9999999999994,0.19166789775820048,0.4047184175170859,17.34403761916344,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
4923882631.706752,853526.0924456753,5768.871830968827,9.999999999999998,999.9999999999994,0.17334411810498812,0.40408205125954927,17.934817567323098,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
7017038286.703836,1101377.913078318,6371.144911642024,9.999999999999998,999.9999999999994,0.15695766049406512,0.40350698246150385,18.538410491519194,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
10000000000.0,1372398.4474401881,7286.513635054093,9.999999999999998,999.9999999999994,0.13723984474401874,0.4029871516474177,19.386820710996844,9.999999999999998,3.0,1.4,0.0,0.0,3.0,0.001,hard_source_time_limited
10000.0,43.62991058578331,229.20056139786072,7.927381918011857,229.20056139786064,0.9999999999999997,0.6922972754018927,7.927381918011857,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
