case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
haar,coord_oracle,250,1.1214708390997365,0.01753064801157343,-0.017760313153957742,-0.37390830630733163
haar,coord_oracle,500,0.8843105932281036,0.009035661902672189,-0.017760313153957742,-0.37390830630733163
haar,coord_oracle,1000,0.6983919440249547,0.0036182007182617116,-0.017760313153957742,-0.37390830630733163
haar,coord_oracle,2000,0.5444754133486971,0.0035229136582699337,-0.017760313153957742,-0.37390830630733163
haar,coord_oracle,4000,0.41743009338036074,0.0025533119850704496,-0.017760313153957742,-0.37390830630733163
haar,coord_oracle,8000,0.31302172571325226,0.001669487316760127,-0.017760313153957742,-0.37390830630733163
