a,b,rho,wd,dimension,n_min,n_max,num_n,rho_knee_n,wd_knee_n,sgd_count_slope_obs,sgd_count_slope_pred,adam_count_slope_obs,adam_count_slope_pred,adamw_count_slope_obs,adamw_count_slope_pred,sgd_bias_slope_obs,sgd_bias_slope_pred,adam_bias_slope_obs,adam_bias_slope_pred,adamw_bias_slope_obs,adamw_bias_slope_pred,sgd_count_slope_abs_error,adam_count_slope_abs_error,adamw_count_slope_abs_error,sgd_bias_slope_abs_error,adam_bias_slope_abs_error,adamw_bias_slope_abs_error
1.25,1.2,1e-16,0.0,300000,10.0,10000.0,50,100000000.0,inf,0.807129467806504,0.8000000000000003,1.5864505409897913,1.6000000000000005,1.5864505409897913,1.6000000000000005,-0.19781746420625446,-0.16000000000000003,-0.5337889473679314,-0.32,-0.5337889473679314,-0.32,0.007129467806503698,0.013549459010209208,0.013549459010209208,0.037817464206254425,0.21378894736793136,0.21378894736793136
1.25,1.2,1e-16,0.0001,300000,10.0,10000.0,50,100000000.0,10000.0,0.807129467806504,0.8000000000000003,1.5864505409897913,1.6000000000000005,1.5864505409897913,1.6000000000000005,-0.19781746420625446,-0.16000000000000003,-0.5337889473679314,-0.32,-0.5638562846184453,-0.32,0.007129467806503698,0.013549459010209208,0.013549459010209208,0.037817464206254425,0.21378894736793136,0.24385628461844527
1.25,1.2,1e-16,0.001,300000,10.0,10000.0,50,100000000.0,1000.0,0.807129467806504,0.8000000000000003,1.5864505409897913,1.6000000000000005,1.3461771914063718,1.3458823529411768,-0.19781746420625446,-0.16000000000000003,-0.5337889473679314,-0.32,-0.4938776180215649,-0.2691764705882353,0.007129467806503698,0.013549459010209208,0.0002948384651950686,0.037817464206254425,0.21378894736793136,0.22470114743332958
1.25,1.2,1e-16,0.01,300000,10.0,10000.0,50,100000000.0,100.0,0.807129467806504,0.8000000000000003,1.5864505409897913,1.6000000000000005,0.3079020179295393,0.30774976657329667,-0.19781746420625446,-0.16000000000000003,-0.5337889473679314,-0.32,-0.1478968551589539,-0.061549953314659185,0.007129467806503698,0.013549459010209208,0.00015225135624263864,0.037817464206254425,0.21378894736793136,0.08634690184429472
1.25,1.2,1e-12,0.0,300000,10.0,10000.0,50,1000000.0,inf,0.807129467806504,0.8000000000000003,1.5864498234837041,1.6000000000000005,1.5864498234837041,1.6000000000000005,-0.19781746420625446,-0.16000000000000003,-0.5337888569065574,-0.32,-0.5337888569065574,-0.32,0.007129467806503698,0.01355017651629642,0.01355017651629642,0.037817464206254425,0.2137888569065574,0.2137888569065574
1.25,1.2,1e-12,0.0001,300000,10.0,10000.0,50,1000000.0,10000.0,0.807129467806504,0.8000000000000003,1.5864498234837041,1.6000000000000005,1.5864498234837041,1.6000000000000005,-0.19781746420625446,-0.16000000000000003,-0.5337888569065574,-0.32,-0.5638562324241648,-0.32,0.007129467806503698,0.01355017651629642,0.01355017651629642,0.037817464206254425,0.2137888569065574,0.24385623242416482
1.25,1.2,1e-12,0.001,300000,10.0,10000.0,50,1000000.0,1000.0,0.807129467806504,0.8000000000000003,1.5864498234837041,1.6000000000000005,1.3461771914063718,1.3458823529411768,-0.19781746420625446,-0.16000000000000003,-0.5337888569065574,-0.32,-0.4938775201030441,-0.2691764705882353,0.007129467806503698,0.01355017651629642,0.0002948384651950686,0.037817464206254425,0.2137888569065574,0.2247010495148088
1.25,1.2,1e-12,0.01,300000,10.0,10000.0,50,1000000.0,100.0,0.807129467806504,0.8000000000000003,1.5864498234837041,1.6000000000000005,0.3079020179295393,0.30774976657329667,-0.19781746420625446,-0.16000000000000003,-0.5337888569065574,-0.32,-0.1478968481424611,-0.061549953314659185,0.007129467806503698,0.01355017651629642,0.00015225135624263864,0.037817464206254425,0.2137888569065574,0.08634689482780192
1.25,1.2,1e-08,0.0,300000,10.0,10000.0,50,10000.0,inf,0.807129467806504,0.8000000000000003,1.5821047367771968,1.6000000000000005,1.5821047367771968,1.6000000000000005,-0.19781746420625446,-0.16000000000000003,-0.5329008382979258,-0.32,-0.5329008382979258,-0.32,0.007129467806503698,0.01789526322280377,0.01789526322280377,0.037817464206254425,0.21290083829792578,0.21290083829792578
1.25,1.2,1e-08,0.0001,300000,10.0,10000.0,50,10000.0,10000.0,0.807129467806504,0.8000000000000003,1.5821047367771968,1.6000000000000005,1.5821047367771968,1.6000000000000005,-0.19781746420625446,-0.16000000000000003,-0.5329008382979258,-0.32,-0.5633447902518658,-0.32,0.007129467806503698,0.01789526322280377,0.01789526322280377,0.037817464206254425,0.21290083829792578,0.24334479025186578
