C,M_opt,N_opt,K_opt,risk_opt,delta,K_wd_cap,K_time_cap,a,b,theta,alpha,s,phase,pred_risk_exp,pred_K_exp,pred_M_exp,pred_N_exp,s_threshold
345510.7294592218,4694.918385194914,73.59248896610535,1.0,1.0475781567045026,1.0,1.0,4.190615649290744,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
492388.26317067415,6097.79513387814,80.74857425679367,1.0,1.0429988802238854,1.0,1.0,4.322267297212351,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
701703.8286703837,7770.993410641254,90.29782829432098,1.0,1.0388593983697794,1.0,1.0,4.486342596853397,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
1000000.0,10110.947095853486,98.90270323045222,1.0,1.0351191949415222,1.0,1.0,4.6245490202461506,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
1425102.6703029992,12892.952648309645,110.53346034663673,1.0,1.0317383168540777,1.0,1.0,4.79915292266592,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
2030917.620904739,16804.987737670403,120.85207395612629,1.0,1.0286837194404161,1.0,1.0,4.944071042401822,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
2894266.1247167517,21441.520908358783,134.98418032409484,1.0,1.025922169187756,1.0,1.0,5.129727452459732,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
4124626.382901348,27357.283804083236,150.76885601799853,1.0,1.023427313827331,1.0,1.0,5.322355506391681,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
5878016.072274912,35742.60003720582,164.45407066515205,1.0,1.0211719865893223,1.0,1.0,5.478750743803644,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
8376776.400682924,45631.04005549927,183.5762759405566,1.0,1.019133935738136,1.0,1.0,5.6833646081263876,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
11937766.417144358,58255.18609108321,204.92195147191546,1.0,1.0172926039166237,1.0,1.0,5.89562014761028,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
17012542.798525892,76291.31711441753,222.9944827536719,1.0,1.0156276166393219,1.0,1.0,6.064076983209025,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
24244620.170823306,97455.46035761712,248.7764162403687,1.0,1.014123305846809,1.0,1.0,6.289310977056759,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
34551072.94592218,124490.79545017074,277.53917726191855,1.0,1.0127641417516922,1.0,1.0,6.522910687917165,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
49238826.317067415,163419.96533485345,301.3023911501589,1.0,1.0115352563945939,1.0,1.0,6.7040028887008924,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
70170382.86703837,208878.1522115087,335.9393125805914,1.0,1.01042478172191,1.0,1.0,6.951634710827221,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
100000000.0,266981.3469969498,374.5580023653955,1.0,1.0094214278896914,1.0,1.0,7.208413533685454,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
142510267.03029963,351298.37854090356,405.6673065848108,1.0,1.0085147143161595,1.0,1.0,7.4026974983378535,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
203091762.0904739,449283.9315319362,452.0343324943452,1.0,1.0076948855244126,1.0,1.0,7.674624582396513,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
289426612.47167516,574600.0080364434,503.70102405797144,1.0,1.0069541302234777,1.0,1.0,7.95654050350562,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
412462638.29013646,734869.7473103653,561.2731232980485,1.0,1.0062848079713984,1.0,1.0,8.248812186739839,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
587801607.2274925,939842.5651914508,625.4256074343199,1.0,1.005680017946802,1.0,1.0,8.551820035620784,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
837677640.0682924,1241055.9627400234,674.9716896076582,1.0,1.0051331457667227,1.0,1.0,8.77193057575458,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
1193776641.7144358,1588155.2151747874,751.6750442953729,1.0,1.004638951116149,1.0,1.0,9.092361840432101,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
1701254279.8525858,2032331.3881174584,837.0949195585921,1.0,1.0041924044458108,1.0,1.0,9.424498190380884,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
2424462017.0823307,2600735.0110756503,932.2218552668255,1.0,1.0037889048574211,1.0,1.0,9.76876720254585,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
3455107294.5922184,3328110.089418016,1038.1589556120755,1.0,1.0034242964021856,1.0,1.0,10.125612072899006,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
4923882631.706752,4410369.427485706,1116.4331497993792,1.0,1.003094632650586,1.0,1.0,10.37395216529261,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
7017038286.703836,5647202.834130409,1242.5688420990396,1.0,1.0027966803186252,1.0,1.0,10.750784416094765,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
10000000000.0,7230890.829930101,1382.9554663732447,1.0,1.0025274494454797,1.0,1.0,11.141305041682353,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
10000.0,334.75234194650653,29.872830588286075,1.1659144011798317,1.0772227103546501,0.6309573444801932,1.1659144011798317,3.1028357883355366,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
14251.026703029993,427.89161070821143,33.30522577772172,1.1728183955791525,1.0620474244255944,0.6198800969747554,1.1728183955791525,3.2173931094238823,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
20309.17620904735,547.5926321515326,37.08811079004308,1.1797632721724125,1.048104885107924,0.6089973244419449,1.1797632721724125,3.334864842159963,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
28942.661247167518,712.0955959780987,40.64434804910334,1.1867492730446552,1.035278277416531,0.5983056126297138,1.1867492730446552,3.4382178226076943,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
41246.26382901348,900.0078028277741,45.828784705443695,1.1937766417144364,1.023462841402271,0.5878016072274913,1.1937766417144364,3.578596890551555,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
58780.16072274912,1155.87568745234,50.8533585063167,1.200845623142315,1.0125628178428718,0.5774820128138353,1.200845623142315,3.7048720455777393,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
83767.76400682924,1486.2424444630958,56.36211260074079,1.2079564637393894,1.0024923373165047,0.56734359182256,1.2079564637393894,3.8340910413304417,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
119377.66417144357,1913.294695144828,62.3937673973466,1.2151094113758887,0.9931735564058105,0.5573831635270149,1.2151094113758887,3.9662529048671136,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
170125.42798525892,2465.969788272462,68.98925882804123,1.2223047153898128,0.9845360364767641,0.5475976030421943,1.2223047153898128,4.101353089551705,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
242446.20170823307,3124.0867122375726,77.6054649054812,1.2295426265956224,0.9765151558662165,0.5379838403443685,1.2295426265956224,4.265442596210582,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
345510.7294592218,4033.6617681016123,85.65684217539928,1.236823397292984,0.9690522610310892,0.5285388593079245,1.236823397292984,4.408126204788007,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
492388.26317067415,5214.22244299346,94.43177166948719,1.2441472812755634,0.9620967651303325,0.5192596967591171,1.2441472812755634,4.553786996029468,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
701703.8286703837,6613.609665717645,106.09997628189954,1.251514533839872,0.9555991690099934,0.5101434415464322,1.251514533839872,4.73411091702539,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
1000000.0,8564.443528143822,116.76181840815183,1.2589254117941673,0.9495179965523112,0.5011872336272722,1.2589254117941673,4.887652075016797,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
1425102.6703029992,10869.385529559215,131.11161311073593,1.2663801734674032,0.9438134087014975,0.4923882631706739,1.2663801734674032,5.080195048914697,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
2030917.620904739,14100.551492370238,144.03107722443778,1.2738790787182366,0.9384508279059393,0.48374376967578053,1.2738790787182366,5.241859823187168,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
2894266.1247167517,17906.008249721952,161.63659059867206,1.281422388944084,0.9333975793862359,0.4752510411057903,1.281422388944084,5.447282438309653,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
4124626.382901348,23270.215269943114,177.24917174397206,1.2890103670902338,0.9286259977006518,0.46690741303710864,1.2890103670902338,5.617305857605321,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
5878016.072274912,29567.861865919334,198.7974679714688,1.2966432776590129,0.9241081246881633,0.45871026782343866,1.2966432776590129,5.836291156738723,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
8376776.400682924,37569.848202105786,222.96540448128312,1.3043213867190053,0.9198221501891539,0.4506570337745474,1.3043213867190053,6.063813388425229,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
11937766.417144358,48940.501383661605,243.92407269308617,1.312044961914328,0.9157454929948147,0.4427451843494492,1.312044961914328,6.248151540346401,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
17012542.798525892,62222.1154484233,273.4163355893582,1.3198142724739599,0.9118589678853107,0.43497223736375407,1.3198142724739599,6.490450162303724,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
24244620.170823306,79108.13214858942,306.47443584288465,1.3276295892211267,0.9081456415824792,0.42733575421093195,1.3276295892211267,6.742144942760611,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
34551072.94592218,103294.56179242914,334.49072580754745,1.3354911845827413,0.9045886824178289,0.4198333390972491,1.3354911845827413,6.941628384617971,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
49238826.317067415,131404.6258261971,374.7115142064585,1.3433993325989002,0.9011740849294055,0.41246263829013513,1.3433993325989002,7.209398183756588,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
70170382.86703837,167164.4217168118,419.768645423318,1.3513543089324358,0.8978891920942573,0.4052213393797472,1.3513543089324358,7.487497067276845,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
100000000.0,218790.03148818214,457.0592148088861,1.3593563908785256,0.8947218608580138,0.3981071705534972,1.3593563908785256,7.702957287686553,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
142510267.03029963,278495.10455591715,511.71551922804434,1.3674058573743584,0.8916610209104026,0.39111789988331636,1.3674058573743584,7.998518054809487,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
203091762.0904739,354492.9480290364,572.9077636654107,1.3755029890088573,0.8886976422672244,0.38425133462543215,1.3755029890088573,8.305419423184617,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
289426612.47167516,451229.6559133425,641.4175324665691,1.3836480680324597,0.8858229075387895,0.37750532053243935,1.3836480680324597,8.62409652917327,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
412462638.29013646,592332.424744862,696.3364169499894,1.3918413783669579,0.8830286135051972,0.3708777411774474,1.3918413783669579,8.863522867346546,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
587801607.2274925,754418.5871907509,779.1451817436065,1.400083205615394,0.8803074452733611,0.36436651729009434,1.400083205615394,9.201800142956712,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
837677640.0682924,960858.0940745223,871.8016169444098,1.4083738370720174,0.8776532830873582,0.35796960610421713,1.4083738370720174,9.552987806107682,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
1193776641.7144358,1223787.818360158,975.4768137127428,1.4167135617322972,0.8750602069962711,0.35168500071697456,1.4167135617322972,9.917578583087842,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
1701254279.8525858,1558665.773439967,1091.4811301065056,1.425102670302998,0.8725228600023093,0.34551072945922195,1.425102670302998,10.296084005135794,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
2424462017.0823307,2053344.8860509521,1180.7378456256909,1.4335414552123127,0.8700361089129262,0.339444855276939,1.4335414552123127,10.569420129154711,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
3455107294.5922184,2616770.3619008944,1320.3708452591663,1.4420302106200547,0.8675958148702108,0.33348547512351856,1.4420302106200547,10.970640288731987,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
4923882631.706752,3334796.396572351,1476.5167183123183,1.4505692324279142,0.8651980986643844,0.32763071936272287,1.4505692324279142,11.387090954286322,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
7017038286.703836,4249844.452729648,1651.128262399542,1.4591588182897708,0.8628393603115081,0.32187875118212356,1.4591588182897708,11.819350282988502,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
10000000000.0,5415976.18702029,1846.3892112313192,1.4677992676220697,0.8605163414392593,0.3162277660168379,1.4677992676220697,12.268018379127444,3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75
10000.0,301.53804960688126,33.16331061050875,1.3593563908785256,1.0273471634905809,0.3981071705534972,1.3593563908785256,3.212816781063804,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
14251.026703029993,383.6167507815563,37.14912519851091,1.3755029890088573,1.00985923468745,0.38425133462543215,1.3755029890088573,3.336692591655369,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
20309.17620904735,488.6148707029964,41.56479351483398,1.3918413783669576,0.9936330199718806,0.3708777411774475,1.3918413783669576,3.4639786700293627,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
28942.661247167518,623.0881254717785,46.4503495797697,1.4083738370720174,0.9785521559654052,0.35796960610421713,1.4083738370720174,3.5947028467648416,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
41246.26382901348,795.5105540357196,51.8487952419566,1.425102670302998,0.9645114061261384,0.34551072945922195,1.425102670302998,3.7288898660667047,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
58780.16072274912,1016.8481281487806,57.806233886432125,1.4420302106200547,0.9514155396381719,0.33348547512351856,1.4420302106200547,3.8665612295645557,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
83767.76400682924,1301.3074551046932,64.37200038947746,1.4591588182897708,0.939178333176754,0.32187875118212356,1.4591588182897708,4.007735040758685,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
119377.66417144357,1667.3140843512197,71.59878591075146,1.4764908816142588,0.9277216806309283,0.31067599098338294,1.4764908816142588,4.152425850512016,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
170125.42798525892,2138.7922238297747,79.54275599554411,1.494028817264171,0.9169747978573958,0.2998631348575566,1.494028817264171,4.300644503998642,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
242446.20170823307,2696.8029711105833,89.90134032980176,1.5117750706156623,0.9068723675899638,0.28942661247167506,1.5117750706156623,4.479766614811793,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
345510.7294592218,3465.5399571486155,99.69895996914198,1.5297321160913588,0.8973558897117413,0.27935332579852207,1.5297321160913588,4.636926471800746,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
492388.26317067415,4458.679750319076,110.43364644779373,1.547902457505376,0.8883738850202658,0.2696306326783702,1.547902457505376,4.797707910980291,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
701703.8286703837,5628.602483509827,124.66750507362572,1.5662886284124324,0.8798765328290312,0.2602463309528381,1.5662886284124324,4.995562797727048,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
1000000.0,7254.482913558654,137.84579988892062,1.5848931924611134,0.8718212998692644,0.251188643150958,1.5848931924611134,5.165723771513717,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
1425102.6703029992,9163.420126706233,155.52082635059193,1.6037187437513303,0.8641685203096022,0.2424462017082328,1.6037187437513303,5.377695220572574,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
2030917.620904739,11831.341711918845,171.65573189884296,1.6227679071960233,0.8568819013710562,0.23400803470013462,1.6227679071960233,5.557584866862165,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
2894266.1247167517,14953.46961670602,193.55147660736054,1.642043338887163,0.8499294488689721,0.2258635520721376,1.642043338887163,5.784495616524124,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
4124626.382901348,19341.443646971224,213.25328440761166,1.6615477264660992,0.8432814065309325,0.21800253234900516,1.6615477264660992,5.97445887767222,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
5878016.072274912,24459.844958454058,240.31289169080742,1.6812837894983077,0.8369107869638305,0.2104151098066508,1.6812837894983077,6.2171644703403155,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
8376776.400682924,31693.567633575203,264.30525264719085,1.701254279852589,0.8307943324825068,0.20309176209047355,1.701254279852589,6.4175402034751405,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
11937766.417144358,40104.46991824018,297.6667299550782,1.7214619820847705,0.8249081557906917,0.19602329826462778,1.7214619820847705,6.676929113329665,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
17012542.798525892,50747.4742514999,335.23920253081496,1.7419097138259683,0.8192341270888074,0.18920084727723,1.7419097138259683,6.946802196936487,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
24244620.170823306,65911.19933484345,367.8376423960256,1.7626003261754577,0.8137533987885489,0.18261584682702606,1.7626003261754577,7.165041719133395,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
34551072.94592218,83452.18343850743,414.02239608723335,1.7835367040982135,0.8084490692042757,0.17626003261754575,1.7835367040982135,7.453174306572866,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
49238826.317067415,105661.3593886267,466.005989341525,1.8047217668271702,0.8033071626466805,0.17012542798525887,1.8047217668271702,7.75289376136063,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
70170382.86703837,137558.7844344932,510.11197253239885,1.826158468270261,0.7983137441063274,0.16420433388871625,1.826158468270261,7.99015441162571,3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75
