C,M_opt,N_opt,K_opt,risk_opt,delta,K_wd_cap,K_time_cap,a,b,theta,alpha,s,phase,pred_risk_exp,pred_K_exp,pred_M_exp,pred_N_exp,s_threshold
10000.0,371.6251749481154,26.908833615473316,1.0,1.1309096406606658,1.0,1.0,2.996619659770327,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
14251.026703029993,483.83747948908837,29.454160347558165,1.0,1.1183078806761348,1.0,1.0,3.0882720357555056,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
20309.17620904735,622.4935793319739,32.62551917538177,1.0,1.1069195015319304,1.0,1.0,3.195355213698131,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
28942.661247167518,801.8329929347494,36.09562278204082,1.0,1.0966275486548462,1.0,1.0,3.304848177847678,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
41246.26382901348,1034.0621566826248,39.88760594559967,1.0,1.0873264626680568,1.0,1.0,3.416745703009998,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
58780.16072274912,1335.1284299864906,44.025847553365246,1.0,1.0789209783050815,1.0,1.0,3.5310394944514742,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
83767.76400682924,1697.4594244109114,49.348905076714935,1.0,1.071323806955498,1.0,1.0,3.6679705528705586,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
119377.66417144357,2195.5650856831694,54.37218188150326,1.0,1.0644578607240969,1.0,1.0,3.788426975385262,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
170125.42798525892,2843.1967018206797,59.83596839301227,1.0,1.0582533836880446,1.0,1.0,3.9112968183107073,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
242446.20170823307,3619.0696502978444,66.99130581481903,1.0,1.0526464016321047,1.0,1.0,4.061372411993845,3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75
