a,b,theta,alpha,s,phase,pred_risk_exp,pred_K_exp,pred_M_exp,pred_N_exp,s_threshold,obs_risk_exp,obs_K_exp,obs_M_exp,obs_N_exp,risk_abs_error,K_abs_error,M_abs_error,N_abs_error
3.0,1.4,0.0,3.0,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.75,-0.006126459523070597,0.0,0.7142985080120995,0.285701491987901,0.006126459523070597,0.0,1.2793726385185167e-05,1.2793726384685566e-05
3.0,1.4,0.0,3.0,0.05,cap_active_decay_limited,-0.006666666666666665,0.016666666666666666,0.7023809523809524,0.29761904761904756,0.75,-0.01360065186420621,0.016666666666666677,0.7023602550596699,0.29763974494033024,0.006933985197539545,1.0408340855860843e-17,2.0697321282514558e-05,2.069732128268109e-05
3.0,1.4,0.0,3.0,0.1,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.75,-0.021166144811563665,0.03333333333333334,0.6904462564565605,0.3095537435434399,0.007832811478230334,6.938893903907228e-18,2.9934019630029063e-05,2.9934019630473152e-05
3.0,1.4,0.0,3.0,0.2,cap_active_decay_limited,-0.02666666666666666,0.06666666666666667,0.6666666666666667,0.33333333333333326,0.75,-0.0365929600749693,0.0666666666666667,0.6662626283270175,0.333737371672983,0.009926293408302641,2.7755575615628914e-17,0.0004040383396491931,0.0004040383396497482
3.0,1.4,0.0,3.0,0.4,cap_active_decay_limited,-0.05333333333333332,0.13333333333333333,0.6190476190476191,0.38095238095238093,0.75,-0.06867578464748035,0.1333333333333334,0.6198423105825364,0.3801576894174642,0.015342451314147028,5.551115123125783e-17,0.0007946915349172912,0.000794691534916736
3.0,1.4,0.0,3.0,0.8,cap_inactive_no_decay_law,-0.09999999999999998,0.25,0.25,0.75,0.75,-0.1019178026660932,0.24275534413618483,0.2717339675914457,0.7282660324085548,0.0019178026660932185,0.007244655863815175,0.02173396759144569,0.02173396759144519
3.0,1.4,0.5,2.25,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.6923076923076923,-0.006126459523070597,0.0,0.7142985080120995,0.285701491987901,0.006126459523070597,0.0,1.2793726385185167e-05,1.2793726384685566e-05
3.0,1.4,0.5,2.25,0.05,cap_active_decay_limited,-0.008888888888888887,0.022222222222222223,0.6984126984126985,0.3015873015873015,0.6923076923076923,-0.016112055931427352,0.022222222222222237,0.6980010193008527,0.30199898069914793,0.007223167042538465,1.3877787807814457e-17,0.0004116791118458085,0.00041167911184641914
3.0,1.4,0.5,2.25,0.1,cap_active_decay_limited,-0.017777777777777774,0.044444444444444446,0.6825396825396827,0.31746031746031733,0.6923076923076923,-0.026263453306260467,0.04444444444444446,0.6826512561378503,0.31734874386215034,0.008485675528482693,1.3877787807814457e-17,0.00011157359816760248,0.00011157359816699186
3.0,1.4,0.5,2.25,0.2,cap_active_decay_limited,-0.03555555555555555,0.08888888888888889,0.6507936507936508,0.3492063492063492,0.6923076923076923,-0.047107805996726045,0.08888888888888892,0.650362782134145,0.3496372178658556,0.011552250441170496,2.7755575615628914e-17,0.000430868659505812,0.0004308686595064226
3.0,1.4,0.5,2.25,0.4,cap_active_decay_limited,-0.0711111111111111,0.17777777777777778,0.5873015873015873,0.4126984126984127,0.6923076923076923,-0.09076579735922356,0.17777777777777784,0.5863451951265238,0.41365480487347656,0.019654686248112466,5.551115123125783e-17,0.0009563921750634918,0.0009563921750638804
3.0,1.4,0.5,2.25,0.8,cap_inactive_no_decay_law,-0.12307692307692306,0.3076923076923077,0.3076923076923077,0.6923076923076923,0.6923076923076923,-0.1277952521933338,0.29268705484835167,0.34145412659120933,0.6585458734087912,0.0047183291164107355,0.01500525284395604,0.03376181889890162,0.033761818898901064
3.0,1.4,1.0,1.5,0.0,fixed_decay_floor,-0.0,0.0,0.7142857142857143,0.2857142857142857,0.6,-0.006126459523070597,0.0,0.7142985080120995,0.285701491987901,0.006126459523070597,0.0,1.2793726385185167e-05,1.2793726384685566e-05
3.0,1.4,1.0,1.5,0.05,cap_active_decay_limited,-0.01333333333333333,0.03333333333333333,0.6904761904761906,0.3095238095238094,0.6,-0.021166144811563682,0.033333333333333354,0.6904462564565605,0.3095537435434399,0.007832811478230351,2.0816681711721685e-17,2.9934019630029063e-05,2.9934019630473152e-05
3.0,1.4,1.0,1.5,0.1,cap_active_decay_limited,-0.02666666666666666,0.06666666666666667,0.6666666666666667,0.33333333333333326,0.6,-0.0365929600749693,0.0666666666666667,0.6662626283270175,0.333737371672983,0.009926293408302641,2.7755575615628914e-17,0.0004040383396491931,0.0004040383396497482
3.0,1.4,1.0,1.5,0.2,cap_active_decay_limited,-0.05333333333333332,0.13333333333333333,0.6190476190476191,0.38095238095238093,0.6,-0.06867578464748035,0.1333333333333334,0.6198423105825364,0.3801576894174642,0.015342451314147028,5.551115123125783e-17,0.0007946915349172912,0.000794691534916736
3.0,1.4,1.0,1.5,0.4,cap_active_decay_limited,-0.10666666666666665,0.26666666666666666,0.5238095238095238,0.47619047619047616,0.6,-0.1333851231758595,0.2666666666666667,0.5236466568819599,0.4763533431180406,0.026718456509192842,5.551115123125783e-17,0.00016286692756395382,0.00016286692756445342
3.0,1.4,1.0,1.5,0.8,cap_inactive_no_decay_law,-0.15999999999999998,0.4,0.4,0.6,0.6,-0.16666473606085982,0.41578640686250296,0.41578640686250296,0.5842135931374972,0.006664736060859849,0.015786406862502933,0.015786406862502933,0.015786406862502766
