case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
flat,sgd,250,0.8943436843054761,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,500,0.7035260842493064,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,1000,0.5507686909562995,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,2000,0.42460876929751623,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,4000,0.31916109429892475,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,8000,0.2316565808640592,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,250,0.8927772847821284,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,500,0.7032942319491885,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,1000,0.5553284542080265,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,2000,0.4255111948444919,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,4000,0.31975086165993416,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,8000,0.23230375994959399,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,250,0.9127815323947441,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,500,0.7153371054183664,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,1000,0.5577192414783215,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,2000,0.42791330800968475,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,4000,0.3190254190940044,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,8000,0.23150481289682298,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,250,0.8792111649510845,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,500,0.6965141612923726,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,1000,0.5524116251993844,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,2000,0.4230276660133557,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,4000,0.31770478038149835,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,8000,0.23123914171372706,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,250,0.8994378306513054,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,500,0.7097730185400485,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,1000,0.554095789594389,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,2000,0.4244509510727374,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,4000,0.3178688679102727,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,8000,0.2304873957719748,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
