case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
haar,spectral_oracle,250,0.45590377234485685,0.014720031194213383,0.5,-1.751961540398095
haar,spectral_oracle,500,0.25767556055930607,0.003859997079120099,0.5,-1.751961540398095
haar,spectral_oracle,1000,0.12912107537200074,0.0013723108447942054,0.5,-1.751961540398095
haar,spectral_oracle,2000,0.05225513945708794,0.000657611725459669,0.5,-1.751961540398095
haar,spectral_oracle,4000,0.014112770850632114,0.00017404933029316496,0.5,-1.751961540398095
haar,spectral_oracle,8000,0.0017980459127810364,3.444591924495343e-05,0.5,-1.751961540398095
